MUNI,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,POP_25OV,HS,BACH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,HA_AFT2000,HA_90_70,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK,COMM_OTHER,WORK_FRM_HM,OWN_OCC_HU,RNT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,AVG_HH_SIZE,WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,2010_POP,2000_POP,POP_CHANGE,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,AVG_VMT,HC_PCT,TR_PCT,HCTR_PCT,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,WATER,WATERperc,VACANT,VACperc,PRIV_EMP,EMP_CHANGE,PCT_CHANGE,PJOBS_HH,RET_SALES,RETSALES_PC,TOT_EAV,RES_EAV,FARM_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,MIN_EAV,WALKSCORE,PR_CNTY,CNTY_TOT_POP,CNTY_TOT_HH,CNTY_AVG_HH_SIZE,CNTY_2010_POP,CNTY_2000_POP,CNTY_POP_CHANGE,CNTY_MED_AGE,CNTY_WHITE,CNTY_HISP,CNTY_BLACK,CNTY_ASIAN,CNTY_OTHER,CNTY_UND19,CNTY_A20_34,CNTY_A35_49,CNTY_A50_64,CNTY_A65_79,CNTY_OV80,CNTY_INC_LT_25K,CNTY_INC_25_50K,CNTY_INC_50_75K,CNTY_INC_75_100K,CNTY_INC_100_150K,CNTY_INC_GT_150,CNTY_MEDINC,CNTY_POP_25OV,CNTY_HS,CNTY_BACH,CNTY_HU_TOT,CNTY_OWN_OCC_HU,CNTY_RNT_OCC_HU,CNTY_VAC_HU,CNTY_HU_SNG_DET,CNTY_HU_SNG_ATT,CNTY_HU_2UN,CNTY_HU_3_4UN,CNTY_HU_GT_5UN,CNTY_BR_0_1,CNTY_BR_2,CNTY_BR_3,CNTY_BR_4,CNTY_BR_5,CNTY_MED_ROOMS,CNTY_HV_LT_150K,CNTY_HV_150_300K,CNTY_HV_300_500K,CNTY_HV_GT_500K,CNTY_MED_HV,CNTY_HA_AFT2000,CNTY_HA_90_70,CNTY_HA_40_70,CNTY_HA_BEF1940,CNTY_MED_HA,CNTY_POP_16OV,CNTY_IN_LBFRC,CNTY_EMP,CNTY_UNEMP,CNTY_NOT_IN_LBFRC,CNTY_PRIV_EMP,CNTY_EMP_CHANGE,CNTY_PCT_CHANGE,CNTY_PJOBS_HH,CNTY_TOT_COMM,CNTY_DROVE_AL,CNTY_CARPOOL,CNTY_TRANSIT,CNTY_WALK,CNTY_COMM_OTHER,CNTY_WORK_FRM_HM,CNTY_AVG_VMT,CNTY_HC_PCT,CNTY_TR_PCT,CNTY_HCTR_PCT,CNTY_RET_SALES,CNTY_RETSALES_PC,CNTY_PARK_ACC,POP_HH,CNTY_POP_HH
Minooka,246,535,609,565,1003,426,88486,6547,6249,1895,7603,5940,5443,497,1663,3477,2335,1028,0,35,69,6.9,567,2167,275,24,216400,2199,1076,172,30,2002,27,791,1287,1188,184,5031,4575,341,89,26,0,278,3033,351,93,10548,3384,3.112884161,8573,1490,142,144,199,3581,2203,2703,1583,389,89,32.2,10924,3971,6953,2052,Retail Trade,Manufacturing,Health Care,Education,Accommodation and Food Service,251,244,226,219,141,231,Transportation,Construction,Accommodation and Food Service,Wholesale Trade,Retail Trade,170,27,20,5,4,Joliet,Chicago,Channahon,Plainfield,Bolingbrook,199,180,79,49,45,Joliet,Chicago,Channahon,Minooka,Aurora,36,24,16,9,6,"25,229",36.746712,27.4340154,64.1807274,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$72,164,533 ","$7,232 ","$291,358,176 ","$209,125,271 ","$398,863 ","$18,638,065 ","$63,056,086 ","$139,891 ",$0 ,N/A,Kendall,114226,37817,3.012904249,114736,54544,60192,33,84645,18090,5977,3390,2124,38089,22837,28138,17014,6387,1761,2904,5983,7553,6668,9079,5630,83835,70709,65451,24196,40002,32214,5603,2185,30300,6320,268,734,2303,1437,7306,15962,13043,2254,6.9,4767,19417,6784,1246,229400,19937,12771,4930,2364,2000,82094,62603,57968,4392,19491,N/A,N/A,N/A,N/A,54100,47696,3996,1536,332,540,2620,25430,36.5,26.6,63,"$987,915,276 ","$8,919 ",33.2,10534,113939
Mokena,271,715,1015,838,1777,1435,103678,11849,11421,4448,14787,10965,10219,746,3822,6215,4068,1314,10,370,453,7.1,490,2079,2376,457,307900,1547,3948,525,195,1994,142,1279,2520,1816,458,9855,8251,586,827,85,106,170,5402,649,164,18424,6051,3.043959676,16731,1119,153,150,271,5252,3192,4250,4085,1160,485,39.5,18740,14583,4157,9115,Health Care,Retail Trade,Education,Manufacturing,Professional,1235,1076,1056,837,652,7224,Manufacturing,Construction,Education,Accommodation and Food Service,Professional,861,755,753,729,676,Chicago,Mokena,Tinley Park,Joliet,Orland Park,1446,707,409,405,405,Mokena,Tinley Park,Chicago,New Lenox,Frankfort,707,506,491,340,297,"27,250",36.83046331,25.42564729,62.2561106,25.75720324,5512.337205,2232.0554,40.49199672,55.89337015,1.013968632,132.6556704,2.40652314,125.1039505,2.269526443,92.6825645,1.681366017,292.7936392,5.311606099,71.50878614,1.29724985,763.3592514,13.84819584,309.9007237,5.621947863,40.12814903,0.72796978,1396.255699,25.32964961,"7,812","3,109",66.1,1.29,"$317,442,323 ","$17,200 ","$765,439,209 ","$602,698,471 ","$180,696 ","$112,996,349 ","$49,563,693 ",$0 ,$0 ,34,Will,677669,222092,3.018132125,677560,502266,175294,35.5,455445,105899,72989,30342,12994,213862,120015,162407,117612,47885,15888,28023,39699,41249,35206,46059,31856,76352,426692,385545,136987,237175,185671,36421,15083,176194,28351,5010,5083,18903,13530,47149,99347,65320,11829,6.5,34342,98497,41747,11085,228900,64130,110131,45258,17656,1990,505541,357260,324409,32636,148281,167339,47209,39.29826022,0.753467032,304861,261269,23699,13117,3221,3555,12842,24654,33,25.2,58.3,"$6,702,141,901 ","$9,941 ",105.3,18419,670303
Monee,174,462,501,261,366,195,67371,3569,3328,788,3775,2746,2600,146,1029,2160,1261,313,78,37,15,6.3,537,1032,137,66,179800,852,1046,165,97,1997,107,246,1315,438,54,2369,2055,12,180,0,122,94,1772,187,201,5099,1959,2.602858601,4052,571,386,37,53,1400,881,1373,587,615,243,37.6,5148,2924,2224,2155,Health Care,Retail Trade,Manufacturing,Education,Wholesale Trade,286,277,249,212,144,1486,Manufacturing,Retail Trade,Transportation,Wholesale Trade,Accommodation and Food Service,599,260,226,96,93,Chicago,University Park,Chicago Heights,Tinley Park,Joliet,282,138,80,72,67,Chicago,Monee,Tinley Park,Chicago Heights,Park Forest,112,51,48,45,36,"26,372",26.95429391,26.25239173,53.20668565,10.02777065,2374.750388,766.8298532,32.29096654,17.73411942,0.746778251,147.1564606,6.196712773,16.29951978,0.686367707,19.06354022,0.802759747,132.3462624,5.573059932,93.77246374,3.948729273,590.2237031,24.8541365,50.33940864,2.119776836,14.54668975,0.61255658,526.4383673,22.16815586,N/A,N/A,N/A,N/A,"$57,315,743 ","$11,417 ","$104,464,859 ","$86,763,752 ","$514,652 ","$14,840,762 ","$2,198,174 ","$147,519 ",$0 ,N/A,Will,677669,222092,3.018132125,677560,502266,175294,35.5,455445,105899,72989,30342,12994,213862,120015,162407,117612,47885,15888,28023,39699,41249,35206,46059,31856,76352,426692,385545,136987,237175,185671,36421,15083,176194,28351,5010,5083,18903,13530,47149,99347,65320,11829,6.5,34342,98497,41747,11085,228900,64130,110131,45258,17656,1990,505541,357260,324409,32636,148281,167339,47209,39.29826022,0.753467032,304861,261269,23699,13117,3221,3555,12842,24654,33,25.2,58.3,"$6,702,141,901 ","$9,941 ",105.3,5099,670303
Montgomery,710,937,1444,1274,1253,374,73406,11000,9513,3180,12927,9754,8774,857,3173,6323,4594,998,101,172,376,6.6,862,3817,328,34,193900,4083,1155,862,223,2002,228,1673,2048,2087,287,8215,7066,804,314,2,29,265,5041,951,331,18123,5992,3.022029372,9867,5738,1364,723,431,6261,3748,4564,2206,1073,271,32.3,18438,5471,12967,8072,Manufacturing,Retail Trade,Health Care,Education,Administration,1038,1007,885,734,611,6751,Manufacturing,Wholesale Trade,Retail Trade,Transportation,Accommodation and Food Service,3377,1001,643,406,273,Aurora,Chicago,Naperville,Oswego,Montgomery,1276,792,523,322,273,Aurora,Oswego,Montgomery,Yorkville,Joliet,1188,296,273,213,208,"24,398",32.72815613,25.9637819,58.69193803,37.91655278,5867.212938,1348.031001,22.97566179,34.40172833,0.5863385,168.351778,2.8693654,74.73068866,1.273699957,145.497224,2.479835409,428.4398215,7.302271557,143.9664791,2.453745597,1433.573719,24.43364054,541.5444935,9.230012601,222.8660973,3.798500235,1325.809907,22.59692841,"4,209",-254,-5.7,0.7,"$211,748,212 ","$12,327 ","$421,251,797 ","$315,661,965 ","$682,462 ","$54,688,373 ","$49,301,221 ","$917,776 ",$0 ,N/A,Kane,514891,170069,2.98945134,515269,404119,111150,34.7,304876,157032,27215,17173,8595,161812,97960,114861,89649,37814,12795,25063,35551,31452,23778,30376,23849,68674,323008,268307,102960,181587,129009,41060,11518,125036,18561,8028,6757,21946,15021,45352,65894,45708,9612,6.2,23541,64939,31399,9130,233800,39891,70848,41961,28887,1979,383386,271319,246279,24851,112067,160955,-3384,-2.059158203,0.946409987,230063,194377,21332,6283,4329,3742,11344,22228,32.5,24.7,57.2,"$4,875,361,438 ","$9,567 ",59.3,18108,508413
Morton Grove,1198,1539,1611,1170,1883,1025,72204,17161,15350,7212,19259,12202,11141,1061,7057,9063,6976,425,144,91,1400,6,467,2602,3819,735,327300,851,1371,6289,552,1959,557,2021,4858,1376,251,10520,8302,1124,921,134,39,412,7623,803,637,23194,8426,2.734156183,13699,1645,231,6650,969,4901,4079,4057,5292,3362,1503,45.1,23270,22451,819,11363,Health Care,Retail Trade,Education,Manufacturing,Professional,1965,1387,1035,975,910,7891,Manufacturing,Retail Trade,Wholesale Trade,Health Care,Accommodation and Food Service,2679,935,848,728,483,Chicago,Skokie,Morton Grove,Evanston,Glenview,3674,684,594,515,372,Chicago,Morton Grove,Skokie,Niles,Des Plaines,2152,594,342,260,216,"17,198",29.13136861,22.2684604,51.39982901,83.57307199,3264.170093,1745.353833,53.47006385,45.06220088,1.380510194,150.4586809,4.609400754,110.6431809,3.389626695,93.32766049,2.859154328,259.1252072,7.938471336,95.93733989,2.939103575,0,0,733.3883893,22.46783619,0,0,30.87360068,0.945833085,"7,785","-2,541",-24.6,0.92,"$317,527,816 ","$13,764 ","$877,375,226 ","$660,244,991 ","$103,019 ","$89,873,325 ","$127,153,891 ",$0 ,$0 ,59,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,23038,5114489
Mount Prospect,2597,4877,3434,3343,3358,2676,68375,37845,33552,14389,43162,29488,27251,2226,13674,21584,12138,1111,209,715,7389,5.5,1281,5154,6940,1214,316300,510,7884,12387,803,1967,3629,5276,8513,3809,357,26077,20737,2317,1832,894,297,785,14589,5696,1299,54144,20285,2.661720483,36946,8798,950,6350,1100,13565,10459,12238,9738,5469,2675,39.4,54167,56265,-2098,24867,Health Care,Retail Trade,Manufacturing,Education,Professional,3023,2699,2553,2189,2087,19316,Retail Trade,Administration,Wholesale Trade,Manufacturing,Education,3334,3081,1746,1565,1555,Chicago,Arlington Heights,Mount Prospect,Des Plaines,Elk Grove,4550,1548,1469,1075,1062,Chicago,Mount Prospect,Arlington Heights,Des Plaines,Palatine,2660,1469,990,753,557,"17,309",26.56883072,22.80038131,49.36921203,14.60647069,6666.225022,3943.326266,59.15381273,447.3837417,6.711200721,299.6339217,4.494806591,523.3945403,7.851438236,329.2529224,4.939121037,308.9650385,4.634782616,99.72555419,1.495982417,0,0,576.5081447,8.648195085,34.24849482,0.513761457,103.7863979,1.556899108,"14,754","-1,554",-9.5,0.73,"$516,818,738 ","$9,574 ","$1,694,952,801 ","$1,242,549,785 ",$0 ,"$298,578,904 ","$152,864,606 ","$959,506 ",$0 ,54,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,53993,5114489
Mundelein,982,1920,2058,1539,2009,2175,80082,20593,17631,8336,24691,18901,16993,1889,5790,11281,7841,1492,68,122,1691,6.1,767,4951,2473,305,241600,825,6432,3594,430,1982,881,2396,4739,2793,472,15860,13122,1792,463,166,317,836,8496,2187,598,31506,10683,2.929888608,18599,9701,366,2531,309,8912,5904,7711,6288,2051,640,36.6,31064,30935,129,13561,Manufacturing,Retail Trade,Education,Health Care,Professional,1820,1671,1291,1230,1192,10590,Manufacturing,Retail Trade,Education,Wholesale Trade,Accommodation and Food Service,4367,1330,1018,913,676,Chicago,Mundelein,Libertyville,Vernon Hills,Waukegan,1435,1048,832,809,374,Mundelein,Waukegan,Chicago,Round Lake Beach,Vernon Hills,1048,765,601,301,284,"22,509",34.53008859,24.37125479,58.90134338,33.42487279,6392.739846,2397.586385,37.50483271,93.59287629,1.464049509,339.6938232,5.313743894,144.080403,2.25381302,646.0898935,10.10661953,424.8722297,6.646167997,111.9429547,1.751095108,413.0905715,6.461870519,787.4737828,12.31825167,271.2175974,4.242587747,763.0993291,11.9369683,"11,824",-405,-3.3,1.11,"$343,641,043 ","$10,890 ","$885,720,411 ","$677,050,695 ","$31,189 ","$134,404,525 ","$72,742,375 ","$1,491,627 ",$0 ,48,Lake,701282,240744,2.836531752,703462,644356,59106,36.7,457261,139349,45982,43561,15129,212510,122333,157503,135182,53650,20104,32485,42733,39601,32569,43445,49911,79085,446837,396196,186863,260020,184999,55745,19276,175104,30151,6591,7314,36113,23023,61273,89381,69365,16978,6.3,32915,71348,43510,37226,267700,39542,131250,65031,24197,1980,533705,379124,334641,33545,154581,272836,1803,0.665232647,1.133303426,317717,258487,30813,14235,10566,3616,21552,21984,36.6,24.7,61.3,"$9,247,597,406 ","$13,203 ",82,31300,682878
Naperville,3808,6010,6531,6430,10342,15869,108252,90135,87016,59582,106955,75551,70525,4946,31404,51989,33473,6084,391,1362,10659,7.5,1747,8269,18696,9026,384500,7466,37817,5051,1655,1987,5369,11060,10159,21397,4004,64010,51992,3899,6443,1180,496,5285,37738,11252,2999,142143,48990,2.857991427,101842,8397,6644,21973,3287,44448,21406,34070,29335,9340,3544,38,141853,128358,13495,61480,Professional,Health Care,Education,Retail Trade,Manufacturing,7362,7163,6544,6304,4461,68900,Retail Trade,Health Care,Professional,Education,Accommodation and Food Service,10328,9391,7921,6374,5241,Naperville,Chicago,Aurora,Lisle,Downers Grove,11715,9847,2674,2497,2089,Naperville,Aurora,Chicago,Bolingbrook,Joliet,11715,6225,5509,2322,1787,"21,700",38.9920918,24.21528613,63.20737793,26.18312831,25017.2095,13033.45315,52.0979494,767.8868197,3.069434342,983.1703805,3.929976205,1567.742747,6.266657146,1391.673631,5.562865159,857.7860726,3.428783984,319.916878,1.27878722,970.8181085,3.880601106,3020.26261,12.07273981,338.4506279,1.352871222,1766.048478,7.059334408,"68,487","6,116",9.8,1.4,"$2,421,674,452 ","$17,126 ","$6,429,468,875 ","$5,156,152,977 ","$314,912 ","$1,146,868,590 ","$123,768,093 ","$2,364,303 ",$0 ,45,DuPage,918608,335532,2.699456386,916924,904161,12763,38.2,645537,122069,40620,93446,16936,250350,172360,200994,187283,76143,31478,40311,61409,58070,49716,63493,62533,78538,613687,564253,281959,356370,251585,83947,20838,212825,44266,2790,10850,85040,43263,88537,118119,87474,18977,6.1,25926,101004,85338,39317,298500,32096,205571,97861,20842,1977,720466,514749,471187,43180,205717,509888,147,0.028838175,1.519640452,439422,359991,35691,29668,10111,3961,21764,20534,32.5,23.7,56.2,"$14,729,493,925 ","$16,111 ",46.5,140013,905754
Newark,49,75,93,69,50,27,67750,659,603,125,718,540,505,35,178,363,298,3,22,2,38,6.5,31,209,23,4,213900,66,98,66,133,1966,26,58,193,62,24,458,383,24,10,25,16,41,267,96,0,932,363,2.567493113,826,104,0,2,0,242,169,212,204,71,34,39,992,887,105,432,Retail Trade,Education,Health Care,Manufacturing,Wholesale Trade,52,50,47,44,42,138,Education,Construction,Wholesale Trade,Public Administration,Manufacturing,61,29,14,12,7,Chicago,Joliet,Aurora,Naperville,Plainfield,42,35,25,16,12,Joliet,Plainfield,Yorkville,Aurora,Minooka,27,5,5,4,4,N/A,24.92182671,28.22712065,53.14894737,23.47375816,714.9037843,225.8051454,31.58538958,2.95650005,0.413552161,18.39569998,2.573171437,0,0,15.40334219,2.154603532,46.46583009,6.499592129,1.66910994,0.233473368,364.7902336,51.0264796,21.73670006,3.040507064,5.91999006,0.828082071,11.76123292,1.645149065,N/A,N/A,N/A,N/A,"$10,599,493 ","$11,447 ","$21,630,336 ","$18,074,419 ","$241,222 ","$3,006,695 ","$308,000 ",$0 ,$0 ,N/A,Kendall,114226,37817,3.012904249,114736,54544,60192,33,84645,18090,5977,3390,2124,38089,22837,28138,17014,6387,1761,2904,5983,7553,6668,9079,5630,83835,70709,65451,24196,40002,32214,5603,2185,30300,6320,268,734,2303,1437,7306,15962,13043,2254,6.9,4767,19417,6784,1246,229400,19937,12771,4930,2364,2000,82094,62603,57968,4392,19491,N/A,N/A,N/A,N/A,54100,47696,3996,1536,332,540,2620,25430,36.5,26.6,63,"$987,915,276 ","$8,919 ",33.2,932,113939
New Lenox,444,1186,1372,1650,2087,1371,90833,15223,14805,5347,17910,13025,12336,689,4885,8387,6456,1022,0,215,694,7,426,3385,3037,248,291700,2556,4953,730,148,1993,246,1814,2910,3103,314,11480,9662,906,779,45,88,608,7096,1014,277,24369,8110,3,21966,1717,144,415,127,8008,3668,6069,4560,1472,592,36.2,24394,17771,6623,13277,Health Care,Retail Trade,Education,Manufacturing,Professional,1669,1601,1506,1370,845,5867,Retail Trade,Education,Accommodation and Food Service,Health Care,Administration,1221,919,631,611,447,Chicago,Joliet,New Lenox,Frankfort,Tinley Park,1609,1147,925,450,404,New Lenox,Joliet,Chicago,Mokena,Manhattan,925,516,328,191,150,"25,814",36.71489584,25.93255117,62.64744702,49.01932743,9508.961164,2929.500504,30.80778703,46.31541872,0.487071279,197.7914722,2.080053423,57.89254105,0.60882088,244.51785,2.57144651,164.790904,1.733006384,247.951516,2.607556301,3722.462868,39.14689316,348.7253244,3.667333564,42.68830991,0.448927166,1506.324456,15.8411043,"6,526","1,274",24.3,0.8,"$298,434,401 ","$12,337 ","$794,966,104 ","$657,833,313 ","$1,377,990 ","$93,683,643 ","$42,018,619 ","$52,539 ",$0 ,34,Will,677669,222092,3.018132125,677560,502266,175294,35.5,455445,105899,72989,30342,12994,213862,120015,162407,117612,47885,15888,28023,39699,41249,35206,46059,31856,76352,426692,385545,136987,237175,185671,36421,15083,176194,28351,5010,5083,18903,13530,47149,99347,65320,11829,6.5,34342,98497,41747,11085,228900,64130,110131,45258,17656,1990,505541,357260,324409,32636,148281,167339,47209,39.29826022,0.753467032,304861,261269,23699,13117,3221,3555,12842,24654,33,25.2,58.3,"$6,702,141,901 ","$9,941 ",105.3,24330,670303
Niles,2568,3402,1767,1368,1563,678,45546,22869,18516,6378,25355,13750,12667,1083,11605,12285,6618,989,228,555,3881,5.3,887,3761,3413,643,290700,656,3155,8048,426,1963,1988,3762,4882,1355,298,12066,9595,940,1079,310,142,424,8704,2642,939,29720,11346,2.520271461,20480,2833,340,5592,475,5585,4917,5178,6233,4793,3014,48.5,29803,30068,-265,12050,Health Care,Retail Trade,Manufacturing,Professional,Education,1915,1497,1247,892,884,19231,Retail Trade,Manufacturing,Health Care,Wholesale Trade,Accommodation and Food Service,5840,2123,1990,1929,1237,Chicago,Niles,Skokie,Glenview,Des Plaines,3551,908,500,494,392,Chicago,Niles,Skokie,Des Plaines,Park Ridge,5452,908,531,507,381,"14,687",21.24622518,21.47541028,42.72163546,44.16375932,3781.574882,1600.351812,42.31971763,191.7786537,5.071396435,345.0534373,9.124596183,307.4272935,8.1296101,474.2802104,12.54187013,472.1711301,12.48609759,41.64336116,1.101217415,2.83635998,0.075004729,327.4829634,8.659962413,0.00454816,0.000120272,18.54511179,0.490407102,"17,857","-2,001",-10.1,1.57,"$1,015,994,891 ","$34,346 ","$1,370,675,241 ","$726,685,244 ",$0 ,"$359,835,563 ","$284,154,434 ",$0 ,$0 ,63,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,28595,5114489
Norridge,1142,1483,1073,890,727,274,55096,10802,9127,2140,12608,7014,6560,454,5594,5932,4615,72,106,122,1008,5.4,372,2292,1788,237,277700,123,1046,4316,447,1958,609,1298,3324,578,123,6107,4872,772,247,155,61,334,4689,900,343,14656,5589,2.55519771,12760,933,58,824,81,2866,2585,2509,2895,2352,1449,46,14572,14582,-10,6932,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Administration,904,842,821,556,487,5436,Retail Trade,Health Care,Manufacturing,Accommodation and Food Service,Education,2219,604,526,478,353,Chicago,Norridge,Harwood Heights,Elk Grove,Des Plaines,2138,350,223,176,157,Chicago,Norridge,Harwood Heights,Des Plaines,Elmwood Park,1925,350,115,101,83,"14,980",20.14285528,21.46505454,41.60790982,91.11128197,1146.823101,852.8024735,74.36216384,39.74853244,3.465968936,87.80629674,7.656481339,47.46182966,4.138548448,88.20862698,7.691563493,27.6119919,2.407694079,0,0,0,0,2.44229496,0.212961786,0,0,0.74105501,0.064618075,"6,654","2,137",47.3,1.19,"$370,192,455 ","$25,467 ","$514,875,459 ","$360,361,353 ",$0 ,"$122,429,784 ","$32,084,322 ",$0 ,$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,14281,5114489
North Aurora,754,827,1144,844,1410,751,79136,10844,9955,4448,12275,8785,8135,640,3490,5910,4123,749,79,173,775,6.7,444,2679,1203,229,258200,2028,2391,1348,143,1994,701,942,2248,1759,260,7722,6793,481,220,109,119,321,4555,1175,180,16231,5730,2.8008726,11806,2107,980,973,365,4688,3263,3982,2843,1093,362,35.6,16760,10585,6175,6724,Manufacturing,Health Care,Retail Trade,Education,Professional,841,767,694,643,572,4612,Manufacturing,Retail Trade,Health Care,Wholesale Trade,Accommodation and Food Service,1688,787,385,344,279,Aurora,Batavia,Chicago,Naperville,Geneva,1034,565,534,441,367,Aurora,North Aurora,Chicago,Batavia,Montgomery,903,247,214,178,109,"22,706",34.93944305,25.28299509,60.22243814,25.14436874,4676.637838,1550.812152,33.16083489,33.03935957,0.706476762,141.6380538,3.028629942,39.6595304,0.848035101,123.8519918,2.648312658,382.0289917,8.168881255,80.21934552,1.715320884,723.6203375,15.47308906,399.9284967,8.551624278,164.3374682,3.514008864,1037.502111,22.18478631,"4,907",73,1.5,0.86,"$302,385,200 ","$18,852 ","$496,294,706 ","$396,460,429 ","$385,110 ","$64,212,904 ","$34,967,983 ","$268,280 ",$0 ,28,Kane,514891,170069,2.98945134,515269,404119,111150,34.7,304876,157032,27215,17173,8595,161812,97960,114861,89649,37814,12795,25063,35551,31452,23778,30376,23849,68674,323008,268307,102960,181587,129009,41060,11518,125036,18561,8028,6757,21946,15021,45352,65894,45708,9612,6.2,23541,64939,31399,9130,233800,39891,70848,41961,28887,1979,383386,271319,246279,24851,112067,160955,-3384,-2.059158203,0.946409987,230063,194377,21332,6283,4329,3742,11344,22228,32.5,24.7,57.2,"$4,875,361,438 ","$9,567 ",59.3,16049,508413
