CCA,2000_POP,2010_POP,POP_CHANGE,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,AVG_VMT,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MED_INC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV
Roseland,52723,44619,-8104,12265,Health Care,Education,Public Administration,Retail Trade,Administration,2390,1735,1140,1115,1045,3384,Health Care,Transportation,Information,Accommodation and Food Service,Retail Trade,1046,518,456,450,281,Chicago,Oak Lawn,Bedford Park,Rolling Meadows,Calumet City,8370,113,99,91,79,Chicago,Dolton,Calumet City,Oak Lawn,South Holland,1755,74,71,62,56,12604,1.591302736,3083.430762,1147.281074,37.2079402,180.9862975,5.869640393,16.27617604,0.5278593,74.75517167,2.424415446,320.4347946,10.39215145,11.07583039,0.35920477,1125.446926,36.49982804,0,0,70.25545207,2.278483206,136.9190398,4.440477195,44495,12626,7602,8009,8965,5498,1795,39.21087234,505,488,42853,151,498,43817,35328,18414,14031,4312,16914,353,13315,8115,1270,3477,399,54,29099,24326,5236,5103,4305,2879,1290,1128,352,37469.84318,15057,8376,6681,3042,18099,10548,1394,2579,1461,2065,6.206090998,705,1311,8822,7261,n/a,1700,5746,6612,2702,1339,4824,3293,153,106,135181.7335
South Chicago,38596,31198,-7398,8098,Health Care,Education,Retail Trade,Administration,Accommodation and Food Service,1590,924,805,714,613,2412,Health Care,Retail Trade,Accommodation and Food Service,Education,Other Service,1058,403,171,123,116,Chicago,Oak Brook,Oak Lawn,Calumet City,Rolling Meadows,5462,63,61,59,50,Chicago,Lansing,Calumet City,Dolton,Orland Park,1325,59,51,30,22,10783,2.134226109,2137.769923,369.172164,17.26903163,273.6328749,12.79992164,25.22667895,1.180046491,55.26447796,2.585146202,72.849644,3.407740152,33.49456403,1.566799293,624.2801848,29.20240285,0,0,59.2686316,2.772451374,624.5807023,29.21646037,29052,8807,6017,5371,4824,3116,917,34.00362185,837,6570,21308,133,204,28907,21816,12136,9430,2706,9680,358,8678,4728,962,2566,307,115,17960,13439,2708,4683,2983,1330,782,481,296,29748.40256,10555,4295,6260,3727,14282,4034,371,3562,3465,2809,5.654443596,432,1612,4807,7431,n/a,2518,4756,4894,1565,549,2552,1517,192,34,125573.6715
South Deering,16990,15109,-1881,4591,Health Care,Education,Retail Trade,Manufacturing,Administration,830,547,426,421,374,4698,Manufacturing,Wholesale Trade,Retail Trade,Administration,Transportation,2989,433,283,271,199,Chicago,South Holland,Oak Lawn,Lansing,Alsip,2909,61,53,51,43,Chicago,Calumet City,Lansing,Chicago Heights,Dolton,1127,118,76,63,54,13606,2.108000868,6974.248734,416.4194248,5.970814071,63.36765573,0.90859472,8.900838838,0.127624339,73.85040424,1.05890121,40.47898535,0.580406391,587.530039,8.4242771,4657.062472,66.77511298,0,0,34.14622629,0.489604366,1092.492688,15.66466482,15743,4879,2793,3044,2881,1719,427,36.07070099,678,4813,10056,41,155,15688,12002,6415,5116,1299,5587,196,4621,2918,776,888,30,9,9788,7587,1100,2086,1290,910,455,240,69,31482.21344,5050,2931,2119,750,5800,2713,1747,622,358,354,5.871169126,56,593,3694,1457,n/a,487,2091,2353,659,210,2218,686,6,21,109958.8939
South Lawndale,91071,79288,-11783,15077,Manufacturing,Administration,Health Care,Retail Trade,Accommodation and Food Service,2904,1892,1545,1536,1469,12103,Manufacturing,Health Care,Transportation,Administration,Accommodation and Food Service,2313,2132,1885,1453,1121,Chicago,Cicero town,Bedford Park,Elk Grove Village,Melrose Park,8192,381,184,165,163,Chicago,Cicero town,Berwyn,Oak Lawn,Burbank,5985,374,213,147,95,11428,0.295003859,2938.448341,240.5978512,8.187921763,436.3505252,14.8496919,43.11434754,1.467248784,108.7342902,3.700398224,315.1233685,10.72414186,522.6941983,17.78810235,1057.616989,35.99236285,0,0,25.59149342,0.870918609,188.6252774,6.419213664,69951,22190,20400,14762,8574,3019,1006,28.69062187,2587,59082,8014,109,159,61839,52841,28666,23876,4790,24175,624,22580,11020,5614,3562,2052,332,40232,17830,2241,6841,5655,2430,1035,610,119,31515.70489,16690,5944,10746,4298,20988,3522,326,7560,6716,2834,4.97372452,197,784,3864,16143,n/a,2461,10693,6181,985,668,2683,2770,445,46,155976.0132
South Shore,61556,52010,-9546,15544,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,3227,1907,1389,1328,1250,4284,Health Care,Retail Trade,Administration,Accommodation and Food Service,Other Service,2229,689,227,218,199,Chicago,Evanston,Schaumburg,Oak Lawn,Oak Brook,11040,119,112,98,91,Chicago,Oak Lawn,Calumet City,Lansing,Harvey,2714,44,43,35,34,8989,2.640823572,1875.625306,373.8232693,19.93059424,466.7870991,24.88701222,19.37206658,1.032832438,97.74815633,5.211496988,67.17427886,3.58143381,17.33297825,0.924117317,601.1229214,32.04920084,0.071971228,0.003837186,149.9932645,7.99697381,82.1993006,4.382501149,51868,13768,11052,9958,10750,4625,1715,36.71762115,769,886,48908,127,1178,50973,41016,25077,19361,5716,15939,644,18091,9660,1225,6416,520,270,34052,29200,8022,10634,5555,3246,1786,1422,502,28501.86567,23145,5620,17525,6844,29989,3719,929,2332,6648,16328,5.04105126,967,3485,11802,13735,n/a,11035,10383,6030,1825,716,2234,2487,728,171,178892.944
The Loop,16388,29283,12895,14051,Professional,Finance,Health Care,Education,Administration,2602,1819,1558,1455,892,370833,Professional,Finance,Education,Public Administration,Administration,81336,70516,66161,37236,27648,Chicago,Evanston,Schaumburg,Oak Brook,Naperville,9537,200,145,133,119,Chicago,Oak Park,Evanston,Oak Lawn,Skokie,198140,4225,3702,2784,2640,6406,15.06769934,1059.071429,7.622030636,0.71968995,75.82804354,7.159861128,0.694776257,0.065602398,218.530908,20.63419918,33.52743411,3.165738703,0.608382495,0.057444897,427.103004,40.32806404,0,0,269.7115518,25.4667952,25.4452978,2.4026045,28614,3553,12648,5110,5243,1618,442,32.57752753,17626,1688,3454,5054,792,25300,26909,19698,18688,994,7211,1254,17323,4494,406,4672,7129,622,21394,20880,16863,2705,2000,2180,2076,3068,3620,86313.82466,15649,6311,9338,3353,19002,245,148,105,78,18298,3.667983565,7495,6292,1542,3673,n/a,10569,6859,1400,160,14,314,2366,2029,1602,334332.13
Uptown,63551,56362,-7189,23879,Health Care,Professional,Education,Accommodation and Food Service,Finance,3315,3114,2438,2376,2201,12081,Health Care,Education,Retail Trade,Finance,Accommodation and Food Service,5418,1254,944,933,751,Chicago,Evanston,Skokie,Schaumburg,Glenview,17426,828,403,231,215,Chicago,Skokie,Evanston,Des Plaines,Lincolnwood,8263,315,206,101,101,6487,5.402105078,1483.244033,83.63290366,5.638512734,352.3214983,23.75344114,24.26852847,1.636179073,69.3678465,4.676765588,241.1785235,16.26020521,8.77034429,0.591294763,357.5590991,24.10655908,0,0,333.6799608,22.49663261,12.46532808,0.840409791,54449,6900,18153,13558,9653,4244,1941,36.97592386,29312,6627,10796,5803,1911,51700,48786,34911,31532,3370,13875,2296,28841,10370,1939,13658,2279,595,44169,39278,23526,10432,5169,4149,3384,3352,2717,44430.06608,29203,9334,19869,3135,32338,1082,561,992,2018,27671,4.014203347,2036,4785,7869,17648,n/a,18024,9133,4337,564,280,1473,4117,3170,574,268901.6173
Washington Heights,29843,26493,-3350,8061,Health Care,Education,Public Administration,Retail Trade,Transportation,1622,1169,742,661,610,2030,Health Care,Retail Trade,Education,Accommodation and Food Service,Manufacturing,669,465,364,147,138,Chicago,Oak Lawn,Bedford Park,Alsip,Blue Island,5820,109,78,63,62,Chicago,South Holland,Dolton,Calumet City,Oak Lawn,1052,51,44,36,28,13337,2.053372505,1828.192641,796.2696317,43.55501788,68.99103564,3.773728988,9.651754046,0.527939662,53.96510069,2.951827914,86.48895453,4.730844693,36.64124188,2.004233091,682.1357024,37.31202539,0,0,49.56903819,2.711368435,44.48018183,2.433013941,26241,6055,4559,4852,5341,4059,1375,43.22670572,248,290,25267,1,435,26024,21825,12321,9518,2803,9504,208,9000,5544,696,2487,166,107,18151,15974,3398,2678,2893,1655,996,1000,142,40418.5022,9364,6324,3040,1162,10526,7670,125,657,756,1313,6.201771654,207,1077,5924,3318,n/a,1018,2876,4703,1257,672,3344,2860,113,7,145926.5891
Washington Park,14146,11717,-2429,3313,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,715,337,333,332,277,500,Accommodation and Food Service,Education,Health Care,Manufacturing,Arts and Entertainment,84,82,67,52,51,Chicago,Evanston,Rolling Meadows,Bedford Park,Schaumburg,2135,35,26,25,22,Chicago,Oak Lawn,Burbank,Hazel Crest,Bridgeview,351,11,6,5,4,7159,22.9178837,972.7743567,15.50563117,1.593959695,130.0708727,13.37112474,6.041545428,0.621063393,21.61276167,2.221765152,46.37888586,4.767692069,12.98768962,1.33511842,229.9359741,23.63713358,0,0,349.3863134,35.91648063,160.8546828,16.53566232,11530,4653,2410,1819,1719,655,274,26.74955527,13,170,11202,0,145,11454,7681,4582,3125,1457,3099,60,2932,1197,311,1275,122,27,6046,4463,920,2384,868,464,268,98,98,19319.37173,4180,721,3459,1412,5592,276,212,353,1447,3291,5.308192458,418,1011,1831,2332,n/a,874,2178,1918,529,93,314,355,17,35,160966.9811
West Elsdon,15921,18109,2188,5805,Manufacturing,Retail Trade,Administration,Health Care,Accommodation and Food Service,933,584,564,563,540,2065,Retail Trade,Accommodation and Food Service,Manufacturing,Finance,Health Care,796,388,176,176,136,Chicago,Bedford Park,Cicero town,Alsip,Oak Brook,3387,146,81,78,55,Chicago,Cicero town,Burbank,Oak Lawn,Berwyn,929,34,32,31,23,15397,1.090785899,750.946334,339.4112083,45.19779816,41.66106778,5.547808931,5.082172132,0.676769018,47.19591767,6.284858922,15.27805188,2.034506487,35.24233024,4.693055768,239.6917778,31.91862946,0,0,16.0587767,2.138471949,11.32503145,1.508101303,19543,6491,4499,4123,2662,1219,548,31.1668125,3536,15418,268,285,36,19531,14350,9732,8108,1624,4618,83,7694,4979,1176,1205,310,25,11444,7485,1107,1083,1731,879,706,631,51,46031.97674,5081,3705,1375,331,5412,3664,196,494,534,515,5.885892116,174,885,3298,1055,n/a,391,1606,2261,717,437,1280,2115,269,42,175196.5409
West Englewood,45282,35505,-9777,10361,Health Care,Retail Trade,Administration,Accommodation and Food Service,Education,2086,1183,984,891,887,1503,Health Care,Retail Trade,Accommodation and Food Service,Manufacturing,Education,479,393,115,109,88,Chicago,Oak Lawn,Bedford Park,Bridgeview,Rolling Meadows,6034,100,90,78,76,Chicago,Bridgeview,Oak Lawn,Calumet City,Orland Park,790,18,18,14,14,9811,1.820793971,2019.009268,514.5707509,25.48629959,205.5630268,10.18138104,19.57741358,0.969654468,54.42158837,2.695460057,94.92483469,4.701555172,42.21031041,2.090644707,754.8162133,37.3854754,0,0,80.52980503,3.988580255,252.3953254,12.50094932,34632,11156,7289,6535,5326,3340,986,32.43581292,358,985,32827,40,422,34390,26413,14318,9008,5310,12095,395,8242,3988,915,2951,317,71,20580,15227,1428,4875,2965,1290,550,404,99,26435.67639,10183,4666,5517,3287,13470,6876,213,3912,1640,800,6.1921946,408,1100,3465,8497,n/a,1361,3583,5083,2311,1132,3534,1016,53,63,99838.70968
West Garfield Park,23019,18001,-5018,5161,Health Care,Retail Trade,Administration,Education,Transportation,1011,656,501,459,403,1853,Manufacturing,Retail Trade,Health Care,Accommodation and Food Service,Other Service,594,393,274,131,95,Chicago,Cicero town,Oak Park,Melrose Park,Broadview,3083,68,66,56,53,Chicago,Oak Park,Cicero town,Berwyn,Skokie,1117,32,30,22,22,7871,0.209938005,828.5811108,52.06273891,6.283360583,196.7690486,23.74771112,9.872615515,1.191508639,38.50505867,4.64710795,43.47592238,5.247032766,39.2997904,4.743022727,333.7567777,40.28051972,0,0,4.555159919,0.549754256,110.2839987,13.30998224,18724,6626,4399,3228,2652,1429,389,28.03563596,290,156,18174,26,77,18550,13345,6061,4398,1663,7284,170,4134,2101,206,1398,119,309,10210,7605,635,2724,1397,721,415,187,21,25132.74336,5465,1478,3987,2404,7869,821,93,3184,1750,2007,5.768317853,211,408,1126,6124,n/a,1601,2342,2758,933,234,529,723,197,29,171516.3934
West Lawn,29235,33355,4120,10676,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,1658,1121,1118,1019,1000,6444,Manufacturing,Retail Trade,Education,Accommodation and Food Service,Health Care,1840,1734,723,516,380,Chicago,Bedford Park,Cicero town,Bridgeview,Oak Brook,6086,274,143,113,108,Chicago,Oak Lawn,Burbank,Cicero town,Tinley Park,2984,144,99,93,73,15652,1.899016274,1889.706861,616.4667939,32.62235041,81.51296017,4.313524064,10.79005066,0.570990712,171.2545769,9.062494319,94.07962995,4.978530369,191.1109821,10.11326074,636.6051393,33.68803662,0,0,35.65278874,1.886683564,52.23393898,2.764129192,33199,11064,8277,6598,4746,1548,966,30.67700409,5306,26576,1097,108,112,33187,24120,16196,14310,1886,7924,269,13589,9079,2496,1655,329,30,19654,13151,1857,1809,2826,1665,1389,935,307,47639.27577,8931,6651,2280,791,9722,6853,150,989,628,1074,6.246663797,365,1222,6520,1615,n/a,728,2314,4148,1730,802,2244,4281,105,21,167625.4889
West Pullman,36649,29651,-6998,9481,Health Care,Education,Retail Trade,Administration,Public Administration,1839,1069,1026,887,822,1062,Manufacturing,Retail Trade,Health Care,Wholesale Trade,Other Service,306,296,115,90,49,Chicago,Blue Island,Alsip,Oak Lawn,Bedford Park,5188,78,70,70,68,Chicago,Calumet City,Harvey,Orland Park,Tinley Park,369,22,18,18,18,14135,1.79719116,2281.120198,861.1464323,37.75103272,118.7957674,5.207782015,12.82087249,0.562042829,49.21726563,2.157591944,87.79555539,3.848791286,63.71717888,2.793240748,816.9565814,35.81383314,0.212536662,0.009317206,43.46702451,1.905512237,226.9909832,9.950855874,29808,9671,5382,5449,5121,3280,905,34.46764706,314,1224,28002,52,215,29730,22175,11785,9015,2770,10390,411,8262,4951,914,2022,315,59,18091,14487,2709,3420,2447,1541,982,646,247,35733.47107,9283,5668,3615,2252,11535,7879,295,2100,589,586,6.335035006,190,1312,6309,3725,n/a,697,2445,5670,1781,942,3720,1826,72,50,121938.7755
West Ridge,73199,71942,-1257,23969,Health Care,Retail Trade,Education,Accommodation and Food Service,Professional,4307,2552,2461,2203,1784,9662,Health Care,Retail Trade,Accommodation and Food Service,Professional,Other Service,4389,1326,1032,758,431,Chicago,Evanston,Skokie,Lincolnwood,Des Plaines,14046,1270,1190,335,315,Chicago,Skokie,Evanston,Niles,Lincolnwood,4954,446,196,134,126,11672,2.588385332,2259.630138,553.3459363,24.48834112,510.1193318,22.57534644,27.58925858,1.220963472,139.0717766,6.154625674,165.7703387,7.336171346,2.962215791,0.131092949,655.5810244,29.01275804,0,0,188.5321186,8.343494603,16.658137,0.737206356,73305,20220,15438,15029,13424,6728,2466,35.91358268,31630,13994,7529,17702,2450,71796,56197,35136,31573,3563,21061,1126,29872,18724,3132,5351,2288,377,48724,39158,18108,6253,6635,4165,2671,2723,1722,47048.12638,24169,11863,12306,3401,27570,5296,1356,2979,6962,10926,5.473442817,1001,2907,11962,11700,n/a,6843,9444,8858,1789,636,3421,4001,3832,609,243299.5495
West Town,87435,82236,-5199,39396,Professional,Health Care,Education,Accommodation and Food Service,Finance,5340,4439,3644,3608,3586,29307,Administration,Accommodation and Food Service,Health Care,Retail Trade,Other Service,5477,3515,3425,3374,2194,Chicago,Evanston,Oak Brook,Des Plaines,Skokie,27625,578,381,359,334,Chicago,Cicero town,Oak Park,Berwyn,Skokie,17490,365,284,283,268,9811,2.496372965,2928.45305,218.036912,7.445463809,682.8792506,23.31877066,137.5801033,4.69804709,165.6293878,5.655866254,133.4706383,4.557718223,193.5190562,6.608234891,1088.025977,37.15360835,0,0,239.3297377,8.172565297,69.98198701,2.389725422,84559,14823,36486,18868,9135,3803,1444,31.74530838,48847,23984,6490,3271,1967,83941,72284,57494,53369,4062,14790,3332,49110,22580,3264,17009,5458,799,62805,54994,37609,7462,6459,5950,4595,5947,7000,69640.22706,37413,14434,22979,3702,41115,4420,1736,5894,14261,14752,4.95434268,7631,6754,5547,21183,n/a,8668,19240,10147,2330,730,685,2841,6745,4163,390266.5688
Woodlawn,27086,23740,-3346,6873,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1360,984,599,583,562,2121,Accommodation and Food Service,Education,Health Care,Other Service,Real Estate,473,411,264,245,242,Chicago,Schaumburg,Oak Lawn,Evanston,Oak Brook,4993,66,53,45,43,Chicago,Evanston,Harvey,Oak Lawn,Skokie,1534,18,17,17,16,8543,13.35735572,1325.242649,63.84436362,4.817560293,255.1463977,19.25280612,7.442405017,0.561588101,37.67839169,2.843131538,140.3439124,10.59005402,3.804854503,0.287106252,349.1159581,26.34354988,0,0,348.3658317,26.28694693,119.5005338,9.017256872,21869,6766,4829,4083,3834,1750,607,32.85420354,1849,354,18567,682,417,20670,17201,9831,7453,2363,7370,265,6763,3083,554,2130,885,111,13309,11230,3181,4502,2080,1082,570,495,198,24735.57692,8927,1933,6994,3256,12183,955,528,2168,3425,5093,5.274070385,936,2394,3872,4981,n/a,2943,3848,4179,946,267,744,906,245,38,183020.8333
