GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Crystal Lake,38000,40743,2743,40598.0,11754.0,7116.0,9105.0,7831.0,3487.0,1305.0,37.6,33912.0,4460.0,512.0,1196.0,518.0,40317.0,31515.0,22932.0,21310.0,1622.0,8583.0,1136,19859.0,17275.0,1423.0,789.0,266.0,106.0,26804.0,24731.0,10829.0,1619.0,2450.0,2786.0,2354.0,2985.0,2297.0,80136.0,14491.0,11101.0,3390.0,917.0,15408.0,10202.0,1678.0,383.0,861.0,2021.0,6.7,2157.0,9289.0,2924.0,1038.0,1985.0,1046.0,4047.0,4591.0,4944.0,780.0,2554.0,6413.0,1960.0,174.0,204700.0,19157.0,Manufacturing,Retail Trade,Education,Health Care,Wholesale Trade,2237.0,2219.0,2165.0,1881.0,1451.0,18482.0,Education,Retail Trade,Manufacturing,Administration,Accommodation and Food Service,3008.0,2882.0,2173.0,2092.0,1740.0,Crystal Lake,Chicago,Out of Region,Unincorporated,Elgin,2964.0,1704.0,1244.0,968.0,869.0,Crystal Lake,Unincorporated,Out of Region,Lake in the Hills,McHenry,2964.0,2405.0,1896.0,937.0,891.0,31.49332,22.77212,54.26545,40.29002,13.82104,54.11106,53.26839,32.80821,86.0766,38.5909,22.07415,60.66505,20411.0,-1826.0,-8.211539326347978,21136.72791,1109140310,682859738,215592383,56205928,1320683,1275219,766260,958020211,37,40.04499923,12133.4357,3540.525919,29.1799125,160.072474,1.319267502,1.348467517,0.01111365,881.7217847,7.266876478,701.1479986,5.778643545,671.3592719,5.533134132,2014.594768,16.60366296,1658.997209,13.67293856,1631.55341,13.44675532,872.1143938,7.187695354
Darien,22860,22086,-774,22251.0,4946.0,3212.0,4360.0,5451.0,3450.0,832.0,46.4,17216.0,911.0,923.0,2495.0,706.0,22220.0,18413.0,11858.0,10862.0,996.0,6555.0,510,10137.0,8795.0,738.0,365.0,166.0,73.0,16137.0,15408.0,7464.0,1126.0,1761.0,1544.0,1349.0,1744.0,1534.0,77188.0,9058.0,7446.0,1612.0,413.0,9471.0,5659.0,1531.0,28.0,261.0,1971.0,6.5,644.0,6361.0,2344.0,122.0,1977.0,714.0,2318.0,3785.0,2272.0,382.0,732.0,3070.0,2889.0,755.0,297400.0,9872.0,Health Care,Retail Trade,Professional,Education,Manufacturing,1374.0,1021.0,1000.0,978.0,779.0,7125.0,Education,Retail Trade,Professional,Accommodation and Food Service,Finance,1514.0,1244.0,934.0,594.0,560.0,Chicago,Darien,Downers Grove,Unincorporated,Out of Region,1870.0,523.0,435.0,401.0,386.0,Chicago,Unincorporated,Darien,Out of Region,Downers Grove,753.0,633.0,523.0,449.0,310.0,32.35619,21.0766,53.43279,42.03645,11.96738,54.00383,56.69478,29.7971,86.49189,39.85961,20.10098,59.96059,,,,19397.67112,315982538,691623992,74244770,6022370,0,11114,0,771902246,43,17.75065375,4032.709157,1975.707428,48.99206344,131.7455811,3.266924938,0,0,217.6989693,5.398330523,197.1307223,4.888295056,34.16540202,0.847207192,990.3319607,24.55748536,44.09996685,1.093556841,392.0440334,9.721604464,49.78509251,1.234532186
Deer Park,3102,3200,98,3247.0,888.0,328.0,585.0,1065.0,335.0,46.0,46.3,2914.0,112.0,15.0,181.0,25.0,3247.0,2521.0,1656.0,1560.0,96.0,865.0,175,1350.0,1150.0,59.0,113.0,5.0,23.0,2162.0,2100.0,1519.0,82.0,115.0,53.0,141.0,177.0,538.0,148214.0,1106.0,1077.0,29.0,6.0,1112.0,1067.0,45.0,0.0,0.0,0.0,9.0,149.0,844.0,96.0,23.0,1985.0,11.0,28.0,291.0,644.0,138.0,42.0,61.0,342.0,632.0,553700.0,1685.0,Manufacturing,Professional,Health Care,Education,Retail Trade,193.0,190.0,168.0,160.0,158.0,2283.0,Retail Trade,Manufacturing,Other Service,Health Care,Administration,730.0,682.0,139.0,136.0,112.0,Chicago,Out of Region,Lake Zurich,Schaumburg,Arlington Heights,316.0,91.0,80.0,80.0,68.0,Unincorporated,Out of Region,Chicago,Palatine,Lake Zurich,176.0,167.0,160.0,122.0,93.0,34.38192,24.24859,58.63051,44.0252,15.39696,59.42215,64.76733,35.34491,100.11224,42.63928,23.78674,66.42602,,,,25072.27754,173298816,176862937,60486323,258400,31514,430245,0,238069419,N/A,141.2760023,2450.364595,1277.715306,52.1438854,7.986346588,0.325924828,0,0,201.8404203,8.237158694,9.113886518,0.371940018,3.562024909,0.145367139,316.0854988,12.8995293,57.7497337,2.356781265,452.7013405,18.47485641,123.6100376,5.044556953
Deerfield,18420,18225,-195,18476.0,5648.0,1451.0,4138.0,4395.0,1903.0,941.0,43.7,16726.0,826.0,93.0,663.0,168.0,18294.0,14008.0,9576.0,9015.0,553.0,4432.0,961,7897.0,6306.0,361.0,964.0,196.0,70.0,12215.0,11961.0,9188.0,439.0,740.0,645.0,659.0,1094.0,3024.0,135754.0,6601.0,5848.0,753.0,253.0,6854.0,5500.0,381.0,74.0,163.0,736.0,7.8,771.0,2048.0,3645.0,390.0,1966.0,446.0,808.0,1918.0,2732.0,950.0,112.0,624.0,2247.0,2865.0,494600.0,7704.0,Professional,Education,Health Care,Retail Trade,Finance,980.0,867.0,762.0,749.0,612.0,22868.0,Manufacturing,Management,Wholesale Trade,Professional,Retail Trade,3327.0,2956.0,2910.0,2647.0,2316.0,Chicago,Deerfield,Out of Region,Northbrook,Highland Park,1865.0,722.0,469.0,466.0,359.0,Chicago,Out of Region,Unincorporated,Deerfield,Buffalo Grove,3739.0,1981.0,1256.0,722.0,683.0,35.7854,22.16073,57.94613,45.29949,13.11665,58.41614,70.23684,31.66042,101.89727,44.48953,21.33075,65.82028,21191.0,4884.0,29.95032807996566,18202.42647,477732970,909922822,311130618,6248146,0,0,0,1227301586,51,17.38403326,3597.84078,1660.708292,46.15847097,57.226308,1.590573666,0.612497351,0.017024026,567.1584989,15.76385764,209.3711531,5.819355715,7.211673077,0.200444475,745.3912975,20.71773997,0,0,316.8240061,8.805948497,33.33705427,0.926585036
Des Plaines,58720,58364,-356,58802.0,12749.0,11471.0,11103.0,13064.0,7116.0,3299.0,42.1,38887.0,10414.0,949.0,7697.0,855.0,57996.0,48381.0,32227.0,30050.0,2156.0,16154.0,1092,28561.0,23371.0,2468.0,2049.0,407.0,266.0,42980.0,37766.0,15144.0,3383.0,4914.0,4395.0,3650.0,3706.0,2370.0,65953.0,22418.0,17905.0,4513.0,1082.0,23500.0,14000.0,1330.0,342.0,655.0,6419.0,5.6,2532.0,6252.0,12376.0,2340.0,1964.0,3083.0,6918.0,9548.0,3277.0,674.0,3666.0,9919.0,3779.0,541.0,236800.0,27822.0,Health Care,Manufacturing,Retail Trade,Professional,Education,3665.0,2990.0,2927.0,2319.0,2140.0,39423.0,Manufacturing,Wholesale Trade,Health Care,Transportation,Administration,5649.0,4114.0,4056.0,2936.0,2591.0,Chicago,Des Plaines,Elk Grove Village,Out of Region,Arlington Heights,6286.0,2954.0,1090.0,919.0,917.0,Chicago,Des Plaines,Out of Region,Unincorporated,Mount Prospect,8552.0,2954.0,2801.0,2148.0,1103.0,30.93327,19.7374,50.67066,39.66198,10.44237,50.10435,50.99977,27.32799,78.32776,37.78683,18.50778,56.29461,38510.0,-3742.0,-8.856385496544544,18333.177,1074465424,961581004,453409003,299315166,3244878,106965,0,1717657016,59,14.50526231,9227.313192,3089.429734,33.48135768,217.5240885,2.357393576,11.57615406,0.125455307,638.4390342,6.919013378,878.4253615,9.519839018,908.7622784,9.848612044,2494.179673,27.03040008,0,0,848.2557506,9.192879151,140.7211175,1.525049757
Diamond,1393,2527,1134,2764.0,935.0,591.0,571.0,437.0,166.0,64.0,32.2,2335.0,238.0,85.0,26.0,80.0,2764.0,1959.0,1294.0,1122.0,172.0,665.0,10,1095.0,936.0,125.0,5.0,29.0,0.0,1641.0,1471.0,269.0,315.0,146.0,149.0,186.0,132.0,66.0,56333.0,994.0,665.0,329.0,118.0,1112.0,513.0,188.0,59.0,26.0,134.0,5.2,451.0,465.0,190.0,6.0,1995.0,95.0,383.0,507.0,123.0,4.0,181.0,467.0,14.0,3.0,191600.0,8.0,Manufacturing,Construction,Education,Administration,Retail Trade,4.0,1.0,1.0,1.0,1.0,16.0,Retail Trade,Public Administration,Other Service,Mining,Utilities,16.0,0.0,0.0,0.0,0.0,Out of Region,Aurora,Montgomery,Braidwood,McCook,1.0,1.0,1.0,1.0,1.0,Out of Region,Braidwood,Chicago,Hawthorn Woods,Hampshire,8.0,5.0,1.0,0.0,0.0,26.2273,22.63442,48.86172,33.829,13.76079,47.58979,41.08153,32.54611,73.62764,32.33487,21.9401,54.27498,,,,N/A,24841399,34150977,5880682,0,0,108652,0,40140311,N/A,N/A,445.2315017,15.22583497,3.419756894,0,0,0,0,16.78975,3.771015738,13.77807433,3.094586586,3.90525808,0.877129778,44.76970258,10.05537623,307.2737961,69.01438801,26.06327687,5.8538708,17.42580874,3.913875966
Dixmoor,3934,3644,-290,3635.0,1474.0,626.0,919.0,329.0,240.0,47.0,28.5,213.0,1693.0,1619.0,0.0,110.0,3625.0,2384.0,1531.0,1338.0,193.0,853.0,19,1288.0,837.0,306.0,110.0,34.0,1.0,1967.0,1433.0,179.0,338.0,363.0,340.0,8.0,10.0,27.0,38958.0,1086.0,574.0,512.0,307.0,1393.0,686.0,0.0,21.0,15.0,0.0,5.3,97.0,587.0,634.0,75.0,1970.0,61.0,546.0,417.0,369.0,0.0,506.0,39.0,21.0,8.0,30500.0,1354.0,Health Care,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,230.0,134.0,132.0,131.0,119.0,714.0,Manufacturing,Wholesale Trade,Retail Trade,Accommodation and Food Service,Public Administration,307.0,210.0,99.0,49.0,26.0,Chicago,Out of Region,Harvey,Blue Island,Alsip,479.0,165.0,32.0,31.0,30.0,Chicago,Out of Region,Unincorporated,Blue Island,Harvey,177.0,112.0,26.0,22.0,21.0,26.68404,20.03808,46.72212,33.14747,10.85453,44.002,42.32106,27.69358,70.01464,32.87109,18.82592,51.69701,,,,16824.16856,19639967,12067558,3232630,8439005,490065,0,0,24229258,N/A,5.056542201,799.0608844,183.7196416,22.99194532,1.284663929,0.16077172,0.080853692,0.01011859,50.92149861,6.372668167,17.08501899,2.138137322,63.62091692,7.961961118,384.4349386,48.11084438,0,0,18.43383875,2.306937945,79.47951323,9.946615432
Dolton,25614,23153,-2461,23262.0,6428.0,4970.0,4297.0,4902.0,1996.0,669.0,36.1,1059.0,1069.0,20779.0,42.0,313.0,22990.0,18358.0,12126.0,9209.0,2917.0,6232.0,108,8694.0,6262.0,836.0,1378.0,125.0,93.0,14782.0,12843.0,2595.0,2202.0,1938.0,1498.0,1073.0,681.0,336.0,46184.0,7728.0,5226.0,2502.0,1264.0,8992.0,7247.0,169.0,172.0,602.0,768.0,5.6,205.0,2621.0,5705.0,461.0,1963.0,335.0,2069.0,5260.0,938.0,390.0,4049.0,1075.0,67.0,35.0,99900.0,7745.0,Health Care,Retail Trade,Education,Transportation,Administration,1745.0,776.0,673.0,671.0,646.0,3125.0,Health Care,Manufacturing,Retail Trade,Education,Other Service,664.0,601.0,433.0,264.0,229.0,Chicago,Out of Region,Dolton,Harvey,South Holland,3051.0,879.0,210.0,201.0,200.0,Out of Region,Chicago,Dolton,Calumet City,South Holland,764.0,590.0,210.0,144.0,90.0,29.0406,21.4288,50.46939,36.74636,12.37696,49.12331,46.04655,30.3449,76.39146,35.33617,20.48245,55.81862,2832.0,-293.0,-9.376,19550.66946,134256319,132444576,37441253,16438896,3675886,0,0,190000611,48,7.279428704,2998.724962,1052.524584,35.09907035,76.79497373,2.560920881,10.73194421,0.357883579,158.8835413,5.298369916,154.8659261,5.164392467,146.4667247,4.884300047,1092.97241,36.4479045,0,0,168.5406136,5.620409198,136.9442439,4.566749057
Downers Grove,48724,47833,-891,49372.0,12516.0,8113.0,10311.0,10841.0,5521.0,2070.0,41.8,42019.0,2263.0,1316.0,3115.0,659.0,48785.0,39221.0,26786.0,24926.0,1860.0,12435.0,1438,22970.0,18111.0,1410.0,2796.0,442.0,211.0,34179.0,32787.0,18241.0,2729.0,2783.0,2870.0,2490.0,3836.0,4310.0,85020.0,19018.0,14620.0,4398.0,1142.0,20160.0,12907.0,1576.0,134.0,248.0,5284.0,6.4,1818.0,9198.0,7199.0,1945.0,1972.0,2685.0,4606.0,6477.0,5171.0,1221.0,1879.0,4260.0,5556.0,2925.0,332800.0,23486.0,Health Care,Education,Professional,Retail Trade,Manufacturing,2884.0,2606.0,2488.0,2353.0,1672.0,44211.0,Administration,Retail Trade,Health Care,Manufacturing,Wholesale Trade,5404.0,5264.0,4931.0,3940.0,3865.0,Chicago,Downers Grove,Naperville,Out of Region,Unincorporated,4450.0,2638.0,993.0,972.0,854.0,Chicago,Out of Region,Unincorporated,Downers Grove,Naperville,4381.0,3948.0,3396.0,2638.0,2021.0,32.06554,20.98717,53.05271,41.4286,11.83462,53.26321,53.83292,29.53084,83.36376,39.21275,19.96317,59.17592,44471.0,5277.0,13.463795478899831,18342.31073,1292301171,1553351751,430761743,60513740,881266,12916,0,2045521416,53,17.64481491,9249.208773,4119.854352,44.54277607,260.0169228,2.811234227,3.392883952,0.036682964,886.8826607,9.588740859,539.6409485,5.834455268,276.8245646,2.992954007,2078.120063,22.46808472,96.11192654,1.03913674,844.0058965,9.125168619,144.3585541,1.560766522
East Dundee,2955,2860,-95,3003.0,582.0,413.0,723.0,691.0,323.0,271.0,45.3,2482.0,494.0,22.0,5.0,0.0,3003.0,2571.0,1687.0,1600.0,87.0,884.0,63,1529.0,1329.0,115.0,12.0,51.0,22.0,2290.0,2159.0,540.0,239.0,271.0,293.0,153.0,283.0,87.0,65123.0,1326.0,953.0,373.0,68.0,1394.0,864.0,212.0,52.0,77.0,181.0,5.8,165.0,465.0,404.0,360.0,1967.0,170.0,470.0,426.0,297.0,31.0,284.0,572.0,97.0,0.0,169700.0,1858.0,Manufacturing,Retail Trade,Professional,Health Care,Education,231.0,217.0,162.0,160.0,155.0,3389.0,Retail Trade,Construction,Administration,Manufacturing,Wholesale Trade,551.0,499.0,376.0,276.0,255.0,Elgin,Chicago,Out of Region,Schaumburg,Carpentersville,227.0,209.0,129.0,98.0,75.0,Out of Region,Elgin,Unincorporated,Carpentersville,Chicago,492.0,299.0,284.0,249.0,155.0,29.97767,22.30511,52.28278,38.41742,13.21189,51.62931,47.34438,31.84537,79.18974,36.62365,21.48229,58.10594,,,,20592.26145,173770563,52259419,23268966,6919435,0,7255,0,82455075,N/A,39.88125765,1901.43328,383.637601,20.17623258,4.486967969,0.235978197,3.750248966,0.19723274,138.6445262,7.291579866,64.42435389,3.388199553,756.5451989,39.78815385,281.4847019,14.80381694,80.41452041,4.229152885,114.0603971,5.998653661,73.98476366,3.890999723
East Hazel Crest,1607,1543,-64,1652.0,393.0,431.0,316.0,272.0,178.0,62.0,35.5,498.0,211.0,845.0,42.0,56.0,1638.0,1344.0,881.0,673.0,208.0,463.0,0,645.0,518.0,22.0,50.0,55.0,0.0,1116.0,988.0,157.0,200.0,206.0,113.0,52.0,69.0,16.0,41444.0,656.0,360.0,296.0,58.0,714.0,497.0,9.0,40.0,63.0,105.0,5.7,52.0,254.0,361.0,47.0,1966.0,88.0,226.0,292.0,82.0,26.0,266.0,94.0,0.0,0.0,106000.0,273.0,Health Care,Education,Accommodation and Food Service,Retail Trade,Manufacturing,54.0,37.0,29.0,27.0,20.0,795.0,Administration,Construction,Health Care,Manufacturing,Other Service,217.0,204.0,115.0,78.0,49.0,Homewood,Chicago,Out of Region,Chicago Heights,Flossmoor,51.0,24.0,15.0,15.0,15.0,Out of Region,Chicago,Homewood,Unincorporated,Tinley Park,188.0,68.0,50.0,48.0,22.0,28.44294,21.17842,49.62135,35.16904,12.0259,47.19494,45.89797,29.73627,75.63424,34.19556,20.13097,54.32653,,,,20343.0663,3998272,10157611,5626531,5134273,2282592,0,0,23201007,N/A,0.361841962,501.9619027,135.9420393,27.0821428,12.42154519,2.474599192,0.245376789,0.048883548,11.4876081,2.288541827,15.025543,2.993363226,33.14317186,6.602726558,269.3776163,53.66495244,0,0,0.558322147,0.111227992,23.76067995,4.733562413
Elburn,2756,5602,2846,5733.0,1871.0,801.0,1603.0,985.0,306.0,167.0,38.9,5300.0,293.0,0.0,88.0,52.0,5733.0,4081.0,3111.0,2714.0,378.0,970.0,142,2549.0,2206.0,181.0,87.0,41.0,34.0,3576.0,3476.0,1290.0,250.0,210.0,326.0,316.0,448.0,334.0,85833.0,1884.0,1621.0,263.0,102.0,1986.0,1587.0,334.0,0.0,0.0,65.0,7.0,825.0,842.0,133.0,186.0,1997.0,51.0,318.0,633.0,840.0,144.0,320.0,1017.0,238.0,46.0,222800.0,2553.0,Manufacturing,Health Care,Education,Retail Trade,Professional,289.0,282.0,277.0,260.0,201.0,1265.0,Manufacturing,Construction,Retail Trade,Wholesale Trade,Accommodation and Food Service,285.0,218.0,161.0,96.0,85.0,Out of Region,Chicago,Unincorporated,St. Charles,Geneva,290.0,233.0,182.0,181.0,153.0,Out of Region,Unincorporated,Aurora,St. Charles,Batavia,279.0,223.0,68.0,66.0,46.0,30.00727,24.40537,54.41264,37.90232,15.38185,53.28417,50.65716,35.42574,86.0829,36.61307,23.88598,60.49905,1707.0,-311.0,-15.411298315163528,30152.18911,83507233,118247932,14980011,11955712,454952,206935,0,145845542,N/A,28.9884455,2001.126631,650.3317488,32.49828066,5.808377275,0.290255358,0,0,71.42916477,3.569447514,64.52845451,3.224606255,96.90998856,4.84277142,366.9988578,18.3396119,398.9263254,19.93508653,161.9200196,8.091442945,184.2736941,9.208497415
Elgin,94487,108188,13701,110906.0,34785.0,24620.0,22590.0,18429.0,7693.0,2789.0,32.9,45837.0,49283.0,7262.0,6834.0,1690.0,109024.0,82355.0,58455.0,52851.0,5604.0,23900.0,1387,50398.0,41637.0,6190.0,1242.0,812.0,517.0,68766.0,54037.0,16515.0,6247.0,8618.0,6426.0,4969.0,5685.0,2810.0,59832.0,34755.0,23610.0,11145.0,2552.0,37307.0,21784.0,4808.0,2578.0,2166.0,4993.0,5.7,6344.0,15047.0,8003.0,7913.0,1975.0,3655.0,11901.0,14154.0,6142.0,1455.0,8894.0,11921.0,2554.0,241.0,171000.0,44866.0,Manufacturing,Health Care,Retail Trade,Administration,Education,7029.0,4957.0,4376.0,4342.0,3849.0,54159.0,Health Care,Education,Manufacturing,Administration,Finance,7826.0,7585.0,7251.0,6188.0,4325.0,Elgin,Chicago,Schaumburg,Out of Region,Unincorporated,10904.0,3753.0,2339.0,2264.0,1665.0,Elgin,Out of Region,Unincorporated,Chicago,South Elgin,10904.0,6783.0,4020.0,2824.0,1741.0,29.50661,21.00652,50.51313,37.73004,11.8503,49.58034,49.84163,29.55271,79.39434,36.21377,19.98762,56.20139,42704.0,2698.0,6.743988401739739,19970.96611,1449609469,1255774896,322301370,283762775,776617,2182503,0,1864798161,44,17.75472735,24131.23156,6997.255032,28.99667601,331.1695612,1.372369083,11.88734804,0.049261257,1075.70097,4.457712685,1613.644565,6.686954875,2056.085276,8.520432415,4529.664986,18.77096481,3676.69375,15.23624578,1927.767031,7.98868067,1911.363042,7.920702417
Elk Grove Village,34727,33127,-1600,33288.0,7478.0,5583.0,6778.0,8444.0,3623.0,1382.0,43.2,25571.0,3344.0,200.0,3566.0,607.0,33106.0,27181.0,18952.0,17786.0,1166.0,8229.0,602,16878.0,15008.0,886.0,678.0,163.0,143.0,24054.0,22547.0,8750.0,2147.0,2878.0,2312.0,1958.0,2721.0,1377.0,68188.0,13393.0,9971.0,3422.0,472.0,13865.0,8372.0,1362.0,18.0,520.0,3593.0,5.8,454.0,8176.0,5089.0,146.0,1974.0,2220.0,3052.0,4950.0,3182.0,461.0,1366.0,5350.0,2851.0,404.0,261600.0,16515.0,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Professional,1913.0,1714.0,1659.0,1422.0,1401.0,52506.0,Manufacturing,Wholesale Trade,Administration,Health Care,Transportation,12790.0,8268.0,5151.0,4747.0,4699.0,Chicago,Elk Grove Village,Schaumburg,Arlington Heights,Out of Region,2337.0,2195.0,1223.0,757.0,601.0,Chicago,Out of Region,Unincorporated,Elk Grove Village,Schaumburg,8189.0,4068.0,2957.0,2195.0,1902.0,31.1648,20.16318,51.32798,41.07024,10.78605,51.85629,50.86793,27.96807,78.836,38.00681,18.9483,56.95511,45880.0,-10709.0,-18.92417254236689,18938.6253,1021344102,608619559,239253524,874227184,1937861,0,0,1724038128,49,16.46797917,7302.789383,1957.200071,26.80071913,203.5763053,2.787651329,1.213070498,0.016611057,423.6263296,5.800883845,240.3877237,3.291724725,2222.561119,30.43441351,1619.498464,22.17643669,5.192569031,0.071103913,545.5352399,7.470231049,83.99849083,1.150224749
Elmhurst,42762,44121,1359,45105.0,13525.0,6502.0,9794.0,8618.0,4229.0,2437.0,39.8,38017.0,3014.0,823.0,2611.0,640.0,43802.0,34270.0,22511.0,20859.0,1652.0,11759.0,934,19615.0,15659.0,1275.0,1965.0,588.0,128.0,29024.0,27536.0,16747.0,1756.0,2520.0,2035.0,1783.0,3266.0,4295.0,95240.0,15655.0,12686.0,2969.0,988.0,16643.0,12696.0,825.0,199.0,150.0,2773.0,6.7,2281.0,3499.0,7951.0,2912.0,1960.0,1795.0,2988.0,6394.0,3976.0,1490.0,776.0,3521.0,4667.0,3722.0,366900.0,20296.0,Health Care,Education,Retail Trade,Professional,Manufacturing,2467.0,2075.0,1968.0,1896.0,1722.0,28702.0,Health Care,Wholesale Trade,Retail Trade,Education,Manufacturing,6198.0,3550.0,2350.0,2129.0,1996.0,Chicago,Elmhurst,Out of Region,Oak Brook,Schaumburg,3907.0,2496.0,989.0,755.0,504.0,Chicago,Elmhurst,Unincorporated,Out of Region,Lombard,4120.0,2496.0,1938.0,1818.0,733.0,33.51968,20.82079,54.34047,42.60768,11.58256,54.19024,59.33194,29.16378,88.49572,41.2313,19.73308,60.96437,28022.0,779.0,2.859450133979371,18561.95691,1197436563,1541556224,153704358,117244112,1794629,0,0,1814299323,55,9.071798522,6598.190257,2715.124663,41.14953582,114.7769292,1.739521365,0.571803819,0.00866607,366.7179674,5.557856823,539.0821947,8.170152325,514.8472296,7.80285517,1827.68413,27.69977916,0,0,412.529744,6.252165031,106.8555952,1.619468234
Elmwood Park,25405,24883,-522,24960.0,5250.0,5190.0,5341.0,5233.0,2463.0,1483.0,40.8,17323.0,5924.0,514.0,889.0,310.0,24757.0,20665.0,13688.0,12255.0,1415.0,6977.0,332,11628.0,9129.0,1059.0,1107.0,247.0,86.0,18029.0,15713.0,4679.0,2013.0,2397.0,1724.0,1139.0,1399.0,700.0,55905.0,9372.0,6327.0,3045.0,833.0,10205.0,5212.0,61.0,894.0,1377.0,2661.0,5.1,349.0,1538.0,5415.0,2903.0,1952.0,1717.0,3767.0,3206.0,1221.0,294.0,1524.0,3581.0,1061.0,161.0,215800.0,11053.0,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,Administration,1441.0,1272.0,1211.0,910.0,833.0,2585.0,Health Care,Retail Trade,Accommodation and Food Service,Finance,Professional,655.0,524.0,297.0,152.0,139.0,Chicago,Elmwood Park,Out of Region,Elk Grove Village,Oak Park,3904.0,406.0,392.0,288.0,264.0,Chicago,Elmwood Park,Out of Region,Unincorporated,River Grove,807.0,406.0,104.0,84.0,58.0,29.56639,18.29691,47.8633,37.84832,8.99233,46.84064,49.31436,24.82289,74.13725,36.4113,16.84916,53.26046,2526.0,-391.0,-13.404182379156667,14874.55275,138156004,346039932,55491404,2987180,0,0,0,404518516,70,3.765578741,1220.706562,565.4847786,46.32438263,111.6844578,9.149165023,8.939191635,0.732296517,43.71568661,3.581178964,20.97304597,1.718107088,2.515369015,0.20605845,372.3456526,30.50246998,0,0,93.69889506,7.675791871,1.34948473,0.110549478
