,GEOG,MEDINC,IN_LBFRC,EMP,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,OTHER,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,WHITE,HISP,BLACK,ASIAN,2010_POP,2000_POP,YEAR
67,Washington Heights,41347.55652,11768.0,9320.0,7688.0,171.0,809.0,824.0,1111.0,1948.82565,867.0,2985.0,4796.0,1317.0,644.0,60.0,6254.0,3054.0,1301.0,26021.0,9308.0,257.0,189.0,25390.0,2.0,29843,26493,2014
68,Washington Park,22903.26538,4664.0,3331.0,351.0,231.0,414.0,1519.0,3101.0,1947.209604,964.0,2090.0,1962.0,477.0,134.0,24.0,833.0,3309.0,1485.0,11146.0,4142.0,20.0,132.0,10882.0,9.0,14146,11717,2014
69,West Elsdon,46535.32916,9456.205524,7874.965069,3541.256785,215.1002088,577.6638831,465.2651357,535.1753653,1955.944937,439.0,1430.340292,2458.106472,657.0146138,361.0,26.0,3693.602679,1338.875,313.3382046,19005.64612,5032.477679,3376.93837,14826.12922,406.5308151,324.0477137,15921,18109,2014
70,West Englewood,26450.92927,14055.0,9013.0,7020.0,269.0,3963.0,1601.0,835.0,1912.304792,1280.0,3740.0,5234.0,2298.0,1164.0,110.0,4884.0,5480.0,3352.0,35294.0,10364.0,429.0,904.0,33477.0,41.0,45282,35505,2014
71,West Garfield Park,24502.29128,6624.069864,4916.26939,782.0479452,106.0082192,3251.228767,1814.250685,2051.520548,1905.909676,1761.228767,2138.393151,2950.350685,952.0780822,217.0054795,256.0,1486.190641,4228.956672,2304.149315,19384.86264,5715.147314,274.0994671,240.2510361,18771.25636,18.0,23019,18001,2014
72,West Lawn,47702.35797,15176.0,13726.0,7201.0,90.0,834.0,462.0,1132.0,1954.559648,754.0,2465.0,4011.0,1661.0,838.0,29.0,7068.0,2043.0,618.0,32950.0,9111.0,5514.0,26078.0,1041.0,95.0,29235,33355,2014
73,West Pullman,39878.27664,12373.97073,9993.97714,8021.742373,243.0915254,2080.0,650.4474576,680.7457627,1952.981244,638.0576271,2842.847458,5448.810169,1826.844068,932.4677966,21.0,5854.136531,3511.684502,2322.610169,30770.79033,9365.821033,390.4813847,1388.0,28757.30895,0.0,36649,29651,2014
74,West Ridge,45367.44011,35098.0,32006.0,5398.0,1482.0,2934.0,6774.0,10969.0,1947.298319,6171.0,9946.0,9125.0,1649.0,748.0,403.0,12314.0,12088.0,3237.0,73705.0,24402.0,31779.0,15260.0,7683.0,17078.0,73199,71942,2014
75,West Town,69154.63441,57593.86904,53758.75959,4712.0,1800.0,6547.0,14351.0,14291.0,1935.282311,8604.0,19239.0,10623.0,2549.0,761.0,990.0,15242.0,22490.0,4044.0,84948.0,37732.0,48721.0,24083.0,7106.0,3448.0,87435,82236,2014
76,Woodlawn,25796.21169,10259.59298,7747.735352,976.0,513.0,2304.0,3629.0,4946.0,1946.908742,2896.0,3914.0,4293.0,965.0,314.0,104.0,2037.0,6945.0,3400.0,21833.0,8982.0,1630.0,385.0,18927.0,515.0,27086,23740,2014
