,GEOG,MEDINC,IN_LBFRC,EMP,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,OTHER,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,WHITE,HISP,BLACK,ASIAN,2010_POP,2000_POP,YEAR,EMP_RATE,WHITE_PCT,HISP_PCT,BLACK_PCT,ASIAN_PCT,OTHER_PCT,OWN_OCC_HU_PCT,RENT_OCC_HU_PCT,VAC_HU_PCT
26,Gage Park,38258.51047,18510.0,15138.0,4804.0,58.0,2829.0,1851.0,827.0,1926.178905,1211.0,3709.0,3631.0,1073.0,808.0,115.0,5302.0,4103.0,1027.0,39492.0,9405.0,1872.0,35456.0,1745.0,400.0,39193,39894,2014,0.8178282009724474,0.04740200546946217,0.8978020864985313,0.04418616428643776,0.010128633647320976,0.0029119821736047807,0.5637426900584795,0.43625730994152045,0.10919723551302499
27,Garfield Ridge,60706.38933,17784.0,15780.0,10271.0,324.0,620.0,592.0,897.0,1955.942584,837.0,2804.0,6465.0,1827.0,799.0,63.0,9961.0,1967.0,780.0,33894.0,11928.0,17953.0,13184.0,1933.0,628.0,36101,34513,2014,0.8873144399460189,0.5296807694577211,0.38897740012981646,0.057030742904348855,0.018528353100843806,0.0018587360594795538,0.835093896713615,0.16490610328638497,0.06539235412474849
28,Grand Boulevard,30154.15419,11351.0,8574.0,1184.0,741.0,939.0,3540.0,5803.0,1956.651439,3240.0,3450.0,3811.0,1167.0,565.0,84.0,2767.0,7111.0,2355.0,23151.0,9878.0,944.0,698.0,21091.0,60.0,28006,21929,2014,0.7553519513699234,0.04077577642434452,0.030149885534102198,0.9110189624638244,0.002591680704937152,0.0036283529869120122,0.2801174326786799,0.71988256732132,0.23840858473375176
29,Greater Grand Crossing,29254.15489,14645.0,11270.0,4770.0,236.0,4565.0,3118.0,3582.0,1926.728813,3668.0,5598.0,4775.0,1349.0,901.0,71.0,4458.0,8147.0,3686.0,32873.0,12605.0,324.0,451.0,31659.0,25.0,38619,32602,2014,0.7695459201092523,0.00985611291941715,0.013719465823015848,0.9630699966537888,0.0007605025400784838,0.0021598272138228943,0.353669178897263,0.646330821102737,0.29242364141213806
30,Hegewisch,45178.05814,4346.010706,3928.610605,2537.51423,100.2957855,597.2337088,370.3064182,185.0745342,1956.152472,185.1926519,1207.239604,1753.956627,723.5111766,183.5246166,0.0,2740.143088,962.3760637,351.2815735,10202.47595,3702.519151,3990.567439,5189.618814,933.0,17.28970126,9781,9426,2014,0.9039578755699457,0.39113715715252434,0.5086626853553132,0.09144839003516593,0.001694657389513376,0.0,0.7400753314834103,0.2599246687056501,0.09487636908106839
31,Hermosa,41201.41713,12902.0,11208.0,2220.0,31.0,2616.0,2309.0,696.0,1918.537753,1211.0,3163.0,2496.0,693.0,359.0,82.0,3110.0,3960.0,852.0,25068.0,7070.0,1974.0,22612.0,196.0,111.0,26908,25010,2014,0.8687025267400403,0.07874581139301101,0.9020264879527685,0.007818733046114568,0.004427955959789373,0.0032711026009254827,0.43988684582743987,0.5601131541725601,0.12050919377652052
32,Humboldt Park,29778.33107,22120.0,18299.0,4049.0,204.0,7510.0,5108.0,3601.0,1914.047546,5022.0,6542.0,6435.0,1503.0,980.0,714.0,5910.0,10868.0,3704.0,54351.0,16778.0,3009.0,27823.0,22680.0,147.0,65836,56323,2014,0.827260397830018,0.05536236683777667,0.511913304263031,0.4172876304023845,0.002704642048904344,0.013136832808963956,0.3522469901060913,0.6477530098939087,0.22076528787698177
33,Hyde Park,47980.73969,14826.0,13577.0,744.0,971.0,139.0,1257.0,11713.0,1925.592908,6853.0,3693.0,2581.0,1168.0,529.0,145.0,4669.0,7870.0,2285.0,26541.0,12539.0,12446.0,1578.0,8851.0,2847.0,29920,25681,2014,0.9157561041413733,0.4689348555065747,0.0594551825477563,0.33348404355525413,0.10726800045213067,0.005463245544629064,0.3723582422840737,0.6276417577159263,0.18223143791370922
34,Irving Park,51154.86605,32547.0,29259.0,5465.0,550.0,4961.0,4477.0,7072.0,1914.32259,5342.0,9272.0,5144.0,1775.0,992.0,289.0,9760.0,10417.0,2348.0,56513.0,20177.0,24229.0,25449.0,1668.0,4004.0,58643,53359,2014,0.8989768642271178,0.4287332118273672,0.4503211650416718,0.02951533275529524,0.0708509546476032,0.0051138676056836484,0.48371908608812014,0.5162809139118799,0.11637012439906824
35,Jefferson Park,59387.79739,14767.0,12930.0,5183.0,102.0,2426.0,1457.0,1781.0,1945.911675,1573.0,4406.0,3220.0,1300.0,453.0,53.0,6535.0,3408.0,1009.0,26771.0,9943.0,18075.0,5343.0,369.0,2518.0,25859,25448,2014,0.8756010022347125,0.6751708938777035,0.19958163684584065,0.013783571775428636,0.09405700197975421,0.0019797542116469316,0.6572463039324148,0.3427536960675852,0.10147842703409433
36,Kenwood,38263.10436,8988.0,7575.0,785.0,773.0,274.0,907.0,7888.0,1956.593839,3968.0,3601.0,1980.0,628.0,458.0,65.0,2855.0,6261.0,1519.0,18180.0,9116.0,3159.0,749.0,12840.0,1065.0,18363,17841,2014,0.8427903871829105,0.17376237623762375,0.0411991199119912,0.7062706270627063,0.05858085808580858,0.0035753575357535755,0.3131856077226854,0.6868143922773147,0.16663010092145678
37,Lake View,72383.44832,72420.0,68957.0,3529.0,1663.0,3840.0,9102.0,39584.0,1952.839333,27278.0,18101.0,9108.0,2436.0,985.0,947.0,19687.0,32881.0,5340.0,96539.0,52568.0,77037.0,7268.0,3567.0,6661.0,94817,94368,2014,0.9521817177575256,0.7979883777540683,0.07528563585701116,0.03694879789515118,0.06899802152497954,0.009809507038606158,0.3745054025262517,0.6254945974737482,0.10158271191599452
38,Lincoln Park,88213.56997,43583.0,41372.0,3487.0,3509.0,2018.0,5275.0,21530.0,1961.314657,15121.0,10425.0,6604.0,2419.0,1350.0,1180.0,14662.0,17532.0,3725.0,64631.0,32194.0,52663.0,4238.0,2731.0,3712.0,64320,64116,2014,0.949269210471973,0.8148257028361003,0.0655722486113475,0.04225526450155498,0.05743373922730578,0.018257492534542247,0.4554264769832888,0.5445735230167111,0.11570478971236876
39,Lincoln Square,60137.85846,25472.0,23356.0,2533.0,465.0,2492.0,3691.0,10296.0,1928.250937,7296.0,7147.0,3732.0,936.0,388.0,305.0,7020.0,10602.0,1877.0,38622.0,17622.0,24332.0,7483.0,1764.0,4015.0,44574,39493,2014,0.916928391959799,0.6300036248770131,0.1937496763502667,0.0456734503650769,0.10395629434001347,0.007897053492827922,0.3983656792645557,0.6016343207354443,0.10651458404267393
40,Logan Square,52184.50263,44441.13096,40786.24041,4628.0,841.0,7141.0,9219.0,10447.0,1907.642183,7400.0,13353.0,8767.0,1828.0,959.0,459.0,10806.0,18241.0,3260.0,72925.0,29047.0,29951.0,35131.0,4710.0,1923.0,82715,72791,2014,0.9177588312662508,0.4107096331847789,0.4817415152553994,0.06458690435378814,0.026369557764826877,0.006294137812821392,0.3720177643130099,0.6279822356869901,0.11223190002409887
41,Lower West Side,36210.0053,20836.0,17540.0,1702.0,174.0,3731.0,4861.0,3855.0,1903.438484,2921.0,6575.0,3704.0,650.0,473.0,109.0,3286.0,8969.0,2068.0,36577.0,12255.0,4562.0,30053.0,1175.0,367.0,44031,35769,2014,0.8418122480322519,0.12472318670202587,0.821636547557208,0.03212401235749241,0.010033627689531673,0.002980014763375892,0.26813545491636065,0.7318645450836393,0.16874745002039984
42,McKinley Park,41510.77373,8327.0,7208.0,1867.0,264.0,1809.0,1179.0,586.0,1912.572034,438.0,2261.0,2395.0,408.0,207.0,56.0,2917.0,2268.0,524.0,16434.0,5185.0,2978.0,10192.0,489.0,2641.0,15962,15612,2014,0.8656178695808815,0.1812096872337836,0.6201776804186443,0.029755385177071925,0.1607034197395643,0.0034075696726299136,0.5625843780135005,0.4374156219864995,0.10106075216972035
43,Montclare,43075.71537,6316.321157,5447.296151,2292.306781,138.2271259,862.6146394,443.7438105,1112.751346,1951.237372,1090.293864,1680.85253,1359.912809,486.2927879,260.1636168,152.2181146,2647.871707,1802.308133,428.0376749,12452.56229,4450.17984,4798.605176,6436.245841,526.5083179,553.5486137,12646,13426,2014,0.8624159563139198,0.3853508269421393,0.5168611640809547,0.04228112300412351,0.04445258741203213,0.012223838841764992,0.5950033037316532,0.4049966962683468,0.0961843544057761
44,Morgan Park,61351.47335,11165.78775,9478.041336,6579.360825,529.4639175,365.2164948,411.3092784,1162.845361,1952.980473,705.7216495,2182.731959,3797.402062,2034.185567,395.1546392,72.29027113,6056.714286,1962.395604,1095.525773,22700.91707,8019.10989,7193.130782,520.2057416,14511.58054,124.0,25226,22544,2014,0.8488466329659545,0.3168652068028545,0.02291562671216789,0.6392508503181806,0.0054623343901762465,0.0031844647908755167,0.7552851088314492,0.24471489116855089,0.1366143858891551
45,Mount Greenwood,88697.95393,10043.0,9157.0,6273.0,59.0,79.0,80.0,628.0,1953.836518,493.0,1739.0,3586.0,1121.0,180.0,19.0,5973.0,616.0,530.0,18475.0,6589.0,16318.0,937.0,937.0,169.0,18820,19093,2014,0.9117793488001593,0.8832476319350474,0.05071718538565629,0.05071718538565629,0.009147496617050067,0.0010284167794316645,0.9065108514190318,0.09348914858096828,0.0804370921232357
46,Near North Side,80768.37636,54998.0,51159.0,866.0,1774.0,370.0,1688.0,56265.0,1977.217739,35347.0,17347.0,6927.0,1138.0,295.0,3107.0,22765.0,27993.0,10296.0,80516.0,50758.0,57777.0,4491.0,7625.0,8731.0,72811,80484,2014,0.9301974617258809,0.7175840826667992,0.05577773361816285,0.09470167420140096,0.10843807441999105,0.03858860350737742,0.4485007289491312,0.5514992710508688,0.20284487174435556
47,Near South Side,72033.2214,14057.0,13361.0,373.0,1390.0,24.0,168.0,11678.0,2000.849436,5466.0,6274.0,1727.0,145.0,30.0,283.0,5711.0,5806.0,2125.0,20245.0,11517.0,9143.0,1260.0,5585.0,3692.0,9509,21390,2014,0.9504873017002206,0.451617683378612,0.06223758952827859,0.27587058532971104,0.18236601630032107,0.013978760187700667,0.4958756620647738,0.5041243379352262,0.18450985499696101
48,Near West Side,67387.79872,33934.0,30243.0,1671.0,2357.0,1801.0,3020.0,20146.0,1984.049005,11840.0,10870.0,4884.0,1126.0,338.0,538.0,10251.0,15414.0,3393.0,54151.0,25665.0,22669.0,4795.0,17319.0,7976.0,46419,54881,2014,0.8912300347733836,0.41862569481634687,0.08854868792820077,0.31982788868164946,0.14729183209913022,0.009935181252423778,0.3994155464640561,0.6005844535359439,0.13220338983050847
49,New City,33097.76259,18777.30922,14446.54706,3518.078029,249.2135524,6040.125257,4367.659138,1627.767967,1907.832081,1532.075975,6396.698152,5746.106776,1494.057495,683.9055441,0.0,5053.631579,6542.736842,4260.673511,42036.34057,11596.36842,5746.28782,22494.5159,12647.0,547.8440652,51721,44377,2014,0.7693619405602994,0.13669809840918795,0.5351206978290974,0.3008587291022607,0.01303262980962189,0.0,0.43579432766935144,0.5642056724168824,0.36741446603677325
50,North Center,86952.91657,22095.0,20929.0,3920.0,572.0,3968.0,3739.0,4192.0,1917.490146,3359.0,6454.0,4004.0,1765.0,860.0,191.0,7758.0,6966.0,1718.0,33418.0,14724.0,26348.0,4376.0,473.0,1392.0,31895,31867,2014,0.9472278796107717,0.7884373690825304,0.1309473936202047,0.014154048716260697,0.04165419833622599,0.0057154826740080196,0.5268948655256723,0.4731051344743276,0.11668024993208367
51,North Lawndale,23387.64721,11796.0,9290.0,1708.0,379.0,4033.0,5299.0,3596.0,1911.584469,2105.0,5100.0,6117.0,1357.0,387.0,330.0,2612.0,8240.0,4214.0,36074.0,10852.0,797.0,1800.0,33151.0,72.0,41768,35912,2014,0.7875551034248898,0.022093474524588347,0.04989743305427732,0.9189721128790819,0.0019958973221710927,0.009147862726617509,0.2406929598230741,0.759307040176926,0.38831551787688906
52,North Park,54235.6875,9326.0,8401.0,2508.0,82.0,956.0,1089.0,2283.0,1950.605482,1869.0,2069.0,1986.0,682.0,364.0,150.0,3405.0,3031.0,534.0,18739.0,6436.0,9358.0,3428.0,314.0,5178.0,18514,17931,2014,0.9008149260132962,0.4993863066332248,0.18293398793959123,0.01675649714499173,0.27632210897059606,0.008004696088371845,0.5290553138595401,0.4709446861404599,0.08297078931013052
53,Norwood Park,69430.39202,19772.87271,17980.55346,10798.48387,351.6774194,1186.474194,716.0,2413.416129,1953.387068,1569.793548,4806.990323,6669.190323,2004.977419,462.1,84.0,11533.48871,3004.373589,976.1677419,37328.91321,14537.8623,30024.92358,4924.734456,310.0660622,1707.189119,37543,37023,2014,0.9093546357028057,0.8043342545519556,0.1319281498578619,0.008306324388702983,0.04573369466707815,0.0022502664229050564,0.7933414467682776,0.20665855316293646,0.06714658054643975
54,O'Hare,44880.96179,7837.013917,7259.558648,772.1764706,39.0,330.5837104,383.7330317,5100.882353,1968.079611,1839.384615,3329.963801,1416.678733,25.34841629,15.0,247.6576271,2816.467703,3311.251196,492.8868778,13742.97627,6127.7189,10144.69831,1877.083616,191.9966102,1165.19774,11665,12756,2014,0.9263169269423667,0.73817331200267,0.13658494194576676,0.013970526211204759,0.08478496339570556,0.018020669048277416,0.4596274321591351,0.540372567677672,0.08043562145123857
55,Oakland,21533.78409,2962.0,2112.0,322.0,79.0,162.0,290.0,2224.0,1990.173077,941.0,1195.0,743.0,102.0,96.0,20.0,612.0,2131.0,334.0,6260.0,2743.0,180.0,229.0,5769.0,57.0,6110,5918,2014,0.713031735313977,0.02875399361022364,0.0365814696485623,0.9215654952076677,0.009105431309904153,0.003194888178913738,0.22311337951148377,0.7768866204885162,0.12176449143273788
56,Portage Park,53847.0889,36325.19572,31697.35471,10089.97196,352.0,5799.0,4471.476636,4070.0,1924.033092,4421.476636,8598.271028,7750.953271,2800.196262,1262.551402,208.0,12671.54093,9830.0,2331.476636,63613.58384,22501.54093,32424.35496,26387.22889,811.0,2715.0,65340,64124,2014,0.8725996951077128,0.5097080372260315,0.41480494097563797,0.012748849397320797,0.04267956364207887,0.0032697418922844955,0.5631410297374687,0.4368589702625313,0.10361408773083523
57,Pullman,42938.80606,3719.0,2872.0,1053.0,1442.0,269.0,483.0,271.0,1947.791781,318.0,1602.0,1259.0,302.0,37.0,0.0,1377.0,1607.0,534.0,7262.0,2984.0,522.0,549.0,6131.0,39.0,8921,7325,2014,0.7722506050013445,0.07188102451115395,0.07559900853759295,0.8442577802258331,0.005370421371522997,0.0,0.46146112600536193,0.5385388739946381,0.1789544235924933
58,Riverdale,14204.39034,2194.0,1434.0,680.0,1766.0,86.0,170.0,642.0,1947.456781,423.0,1266.0,1169.0,435.0,51.0,6.0,299.0,2023.0,1022.0,6820.0,2322.0,0.0,136.0,6678.0,0.0,9809,6482,2014,0.6536007292616226,0.0,0.01994134897360704,0.9791788856304985,0.0,0.0008797653958944282,0.12876830318690785,0.8712316968130922,0.4401378122308355
59,Rogers Park,39269.40559,33271.0,30380.0,1585.0,827.0,945.0,3479.0,21043.0,1927.136983,13500.0,9652.0,3391.0,826.0,543.0,322.0,6995.0,16986.0,3931.0,57559.0,23981.0,21819.0,14280.0,15662.0,3876.0,63484,54991,2014,0.9131075110456554,0.3790719088239893,0.24809326082801994,0.27210340693896695,0.06733959936760542,0.005594259802984764,0.29168925399274426,0.7083107460072557,0.1639214378049289
