GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Rogers Park,63484,54991,-8493,54402.0,11852.0,16546.0,12865.0,8665.0,3352.0,1122.0,33.83299981808259,22769.0,13135.0,13320.0,3501.0,1677.0,50990.0,45273.0,31691.0,28580.0,3093.0,13582.0,1678.0,26479.0,9696.0,2069.0,11558.0,2678.0,478.0,37029.0,31167.0,15502.0,8418.0,6171.0,3935.0,2128.0,1991.0,1177.0,37223.34004024145,23820.0,5925.0,17895.0,3744.0,27564.0,1515.0,609.0,855.0,3074.0,21498.0,4.425862326414813,1163.0,3430.0,7419.0,15552.0,-9999,14090.0,9008.0,3365.0,728.0,373.0,1950.0,2624.0,931.0,375.0,189788.13559322033,21985.0,Health Care,Education,Accommodation and Food Service,Retail Trade,Professional,3543.0,2523.0,2371.0,2155.0,1997.0,10260.0,Education,Health Care,Manufacturing,Other Service,Accommodation and Food Service,3678.0,1757.0,1646.0,1041.0,733.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Rogers Park,8718.0,3630.0,2260.0,1070.0,1057.0,Outside of Chicago,Rogers Park,West Ridge,Edgewater,Uptown,4525.0,1057.0,704.0,513.0,280.0,,,,,,,,,,,,,,,,9001,,,,,,,,,,1.2692295978305,1175.9211142282702,145.870078559173550,0.12404750352229597,372.637649178178040,0.31689000619971985,21.812790366273951,0.01854953542575786,60.757464986861741,0.051667976917597454,80.279743968382391,0.06826966791991666,49.885075608477145,0.04242212764519971,371.123579998776560,0.31560244603851373,n/a,n/a,69.048628581174853,0.05871875906105306,4.506102980971940,0.00383197726994569
Roseland,52723,44619,-8104,42505.0,11631.0,7897.0,7019.0,8612.0,5569.0,1777.0,38.856709265175716,557.0,450.0,40846.0,185.0,467.0,41827.0,33790.0,18155.0,13540.0,4586.0,15635.0,370.0,12894.0,7463.0,1019.0,3913.0,460.0,39.0,28088.0,23648.0,5573.0,5109.0,3890.0,2340.0,1238.0,1373.0,382.0,37241.97247706422,14332.0,8012.0,6320.0,3450.0,17782.0,10414.0,1460.0,2511.0,1383.0,1955.0,6.2556521739130435,812.0,1230.0,8942.0,6798.0,-9999,1551.0,5408.0,6818.0,2656.0,1349.0,5120.0,2561.0,162.0,120.0,125714.590443686,12893.0,Health Care,Education,Retail Trade,Administration,Transportation,2568.0,1602.0,1269.0,1259.0,1027.0,3499.0,Health Care,Administration,Accommodation and Food Service,Transportation,Retail Trade,1021.0,808.0,415.0,395.0,335.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,4744.0,2834.0,797.0,670.0,248.0,Outside of Chicago,Roseland,West Pullman,Auburn Gresham,Washington Heights,1731.0,226.0,134.0,109.0,87.0,,,,,,,,,,,,,,,,13634,,,,,,,,,,1.6528683800737374,3083.4184235694365,1138.096105914456100,0.36910206451869404,182.021102302118040,0.059032241913961905,15.566131469926736,0.00504833575324721,71.914512783054519,0.023322982127026607,322.040784754649390,0.10444277763049996,10.646760795430048,0.003452908211888126,1124.944384166133900,0.3648367589578946,n/a,n/a,70.255170495034207,0.022784831911883432,147.933470888633650,0.047977098974904105
South Chicago,38596,31198,-7398,28095.0,8536.0,5733.0,5213.0,4858.0,2751.0,1004.0,34.06318427139553,782.0,6083.0,20818.0,110.0,302.0,27929.0,21333.0,12409.0,9700.0,2709.0,8924.0,318.0,9134.0,5184.0,711.0,2862.0,229.0,148.0,17287.0,13325.0,2766.0,4636.0,2828.0,1216.0,734.0,489.0,287.0,28503.81679389313,10190.0,3965.0,6225.0,3818.0,14008.0,4151.0,373.0,3391.0,3121.0,2957.0,5.63647767185148,447.0,1362.0,4990.0,7209.0,-9999,2463.0,4742.0,4803.0,1379.0,621.0,2585.0,1184.0,124.0,72.0,119157.42024965325,8364.0,Health Care,Administration,Education,Retail Trade,Accommodation and Food Service,1691.0,877.0,822.0,781.0,721.0,2908.0,Health Care,Accommodation and Food Service,Retail Trade,Construction,Education,1114.0,631.0,356.0,149.0,145.0,Outside of Chicago,The Loop,Near West Side,Near North Side,South Chicago,3103.0,1542.0,591.0,509.0,200.0,Outside of Chicago,South Chicago,East Side,South Shore,South Deering,1400.0,200.0,141.0,100.0,85.0,,,,,,,,,,,,,,,,11994,,,,,,,,,,2.2385286776211824,2140.676044258138,367.155135619273660,0.1715136377613424,271.262868734723160,0.12671831847809117,24.123320569176428,0.011269019725745791,65.836023916323967,0.030754781459302858,73.270972317600126,0.034227959206687225,34.467409670743763,0.01610117970124182,631.832549854019820,0.29515561289563763,n/a,n/a,62.891463197767116,0.02937925304786716,609.836300378510260,0.28488023772408405
South Deering,16990,15109,-1881,15305.0,4415.0,2925.0,2670.0,3004.0,1851.0,440.0,37.06367924528302,592.0,4580.0,9971.0,8.0,154.0,15221.0,11928.0,6989.0,5222.0,1767.0,4939.0,214.0,4841.0,3000.0,572.0,1198.0,50.0,21.0,9739.0,7673.0,1052.0,1984.0,1434.0,830.0,371.0,337.0,112.0,35056.02240896359,5068.0,2928.0,2140.0,718.0,5786.0,2737.0,1674.0,639.0,307.0,393.0,5.925537493445201,8.0,451.0,3511.0,1816.0,-9999,387.0,2054.0,2368.0,672.0,305.0,2373.0,502.0,6.0,36.0,106118.51332398318,4580.0,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,814.0,485.0,445.0,424.0,407.0,6536.0,Manufacturing,Transportation,Wholesale Trade,Retail Trade,Administration,4246.0,523.0,424.0,384.0,363.0,Outside of Chicago,The Loop,Near West Side,Near North Side,South Deering,1668.0,900.0,263.0,261.0,105.0,Outside of Chicago,East Side,South Deering,Roseland,Hegewisch,4782.0,138.0,105.0,104.0,92.0,,,,,,,,,,,,,,,,14866,,,,,,,,,,36.13859525263459,6974.220836615903,417.031497909945360,0.059796141774068244,63.417774266448312,0.009093169796616375,8.325779503666613,0.001193793500193568,63.868872092939739,0.009157850545485565,40.478823161414532,0.005804063867449321,646.243198786891300,0.09266170571972704,4541.853750802848500,0.6512345761919821,n/a,n/a,553.101200341572390,0.0793065223053581,639.899939750176600,0.09175217629911972
South Lawndale,91071,79288,-11783,73826.0,24137.0,19875.0,16014.0,9057.0,3641.0,1102.0,29.01023017902813,2267.0,62928.0,8158.0,181.0,292.0,65932.0,54964.0,29229.0,25383.0,3846.0,25735.0,627.0,24405.0,12380.0,5596.0,4080.0,2006.0,343.0,42353.0,20862.0,2461.0,7368.0,6316.0,2631.0,845.0,715.0,173.0,30700.55796652201,18048.0,6452.0,11596.0,3441.0,21489.0,3700.0,477.0,8030.0,6324.0,2881.0,4.96247643732328,250.0,766.0,2208.0,18265.0,-9999,2617.0,10852.0,6056.0,1255.0,709.0,3446.0,2727.0,275.0,4.0,143090.45226130652,16728.0,Manufacturing,Administration,Retail Trade,Health Care,Accommodation and Food Service,2905.0,2339.0,1753.0,1716.0,1647.0,11188.0,Health Care,Manufacturing,Administration,Transportation,Accommodation and Food Service,2013.0,2010.0,1421.0,1395.0,1139.0,Outside of Chicago,The Loop,Near West Side,South Lawndale,Near North Side,7450.0,1818.0,865.0,734.0,695.0,Outside of Chicago,South Lawndale,Brighton Park,Austin,Chicago Lawn,5518.0,734.0,224.0,189.0,184.0,,,,,,,,,,,,,,,,11173,,,,,,,,,,0.3485159627673915,2938.4365878586214,238.113976437161280,0.08103424025586554,437.047747543628590,0.14873478956444866,42.993712342303802,0.014631492311234583,107.556341285066680,0.03660325416906414,318.165580611106800,0.10827716409662909,488.645274815827520,0.16629430658291885,1057.503448151896500,0.3598864282188065,n/a,n/a,25.729539467265443,0.008756200345985952,222.680967204365000,0.07578212445504677
South Shore,61556,52010,-9546,51451.0,13856.0,10799.0,9730.0,10365.0,4849.0,1852.0,36.520420289855075,1104.0,894.0,48089.0,182.0,1182.0,50431.0,40455.0,23772.0,18497.0,5276.0,16682.0,734.0,17365.0,8752.0,1235.0,6823.0,372.0,183.0,33537.0,29049.0,7376.0,10943.0,5036.0,3248.0,1617.0,1199.0,502.0,26425.173010380622,22545.0,5187.0,17358.0,6377.0,28922.0,3775.0,655.0,2438.0,5763.0,16260.0,5.0584396751740135,931.0,2905.0,12271.0,12815.0,-9999,10623.0,9741.0,6033.0,1773.0,752.0,2602.0,1776.0,560.0,240.0,149170.91836734692,15654.0,Health Care,Administration,Education,Accommodation and Food Service,Retail Trade,3202.0,1665.0,1646.0,1475.0,1447.0,3926.0,Health Care,Retail Trade,Other Service,Administration,Accommodation and Food Service,1734.0,719.0,321.0,281.0,219.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,4991.0,3127.0,1398.0,1136.0,419.0,Outside of Chicago,South Shore,Greater Grand Crossing,Auburn Gresham,Chatham,1525.0,332.0,103.0,101.0,100.0,,,,,,,,,,,,,,,,9846,,,,,,,,,,2.812892479522411,1877.0445229733596,373.164647994614030,0.19880436687963968,465.681463922867810,0.24809292386160256,19.642609239702281,0.010464647481343235,94.499466092584257,0.05034481864228293,72.087057953777304,0.03840455411232695,14.506622071712286,0.007728437921511239,610.504027997609910,0.32524749441240325,0.071970940517128,3.8342692267694e-05,144.726130963907560,0.07710319557825514,82.160525796067105,0.04377121841836737
The Loop,16388,29283,12895,33442.0,4915.0,14245.0,5903.0,5855.0,2137.0,387.0,32.31094020797227,20378.0,2156.0,4131.0,5733.0,1044.0,29502.0,31273.0,22787.0,21494.0,1202.0,8486.0,1906.0,19442.0,4968.0,684.0,4817.0,8492.0,481.0,24846.0,24408.0,19569.0,3139.0,2009.0,2150.0,2396.0,3355.0,5046.0,93254.38230383974,18095.0,7455.0,10640.0,3371.0,21466.0,417.0,186.0,72.0,28.0,20639.0,3.7014636840651756,8775.0,6806.0,2090.0,3795.0,-9999,11297.0,8093.0,1806.0,236.0,34.0,539.0,2122.0,2829.0,1358.0,338207.3109664497,15196.0,Professional,Finance,Health Care,Education,Administration,3015.0,2161.0,1639.0,1544.0,970.0,392758.0,Professional,Finance,Education,Public Administration,Administration,92538.0,68570.0,60621.0,47458.0,32560.0,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,5791.0,4241.0,1442.0,1334.0,452.0,Outside of Chicago,Lake View,Near North Side,West Town,Lincoln Park,176694.0,16170.0,13654.0,10021.0,9890.0,,,,,,,,,,,,,,,,7080,,,,,,,,,,7.47154805235485,1059.0990007611322,7.622000147707823,0.007196683352765129,80.460134138272565,0.07597036167577259,0.724218414550858,0.0006838061541276039,213.303988271654960,0.2014013686334912,34.075946364572701,0.03217446748612139,0.608380061249708,0.0005744317205591636,425.217668253870730,0.40149000985581496,n/a,n/a,249.863509966850870,0.23592082495336503,47.223155142402085,0.04458804616798306
Uptown,63551,56362,-7189,55137.0,6638.0,18609.0,13179.0,10143.0,4378.0,2190.0,37.338682154605266,30371.0,6402.0,11445.0,4831.0,2088.0,52447.0,49383.0,35418.0,31941.0,3472.0,13965.0,2206.0,29204.0,10452.0,1446.0,14216.0,2406.0,684.0,44870.0,40086.0,24740.0,9911.0,5462.0,4097.0,3244.0,3379.0,3138.0,45710.645526613815,29231.0,8797.0,20434.0,3117.0,32348.0,1354.0,578.0,600.0,2293.0,27492.0,4.02865329512894,2105.0,5469.0,7939.0,16835.0,-9999,18006.0,9023.0,4440.0,608.0,271.0,1772.0,3713.0,2458.0,807.0,257241.91063174114,25628.0,Health Care,Professional,Accommodation and Food Service,Education,Finance,3570.0,3353.0,2746.0,2637.0,2175.0,12320.0,Health Care,Education,Retail Trade,Accommodation and Food Service,Real Estate,5441.0,1436.0,1076.0,870.0,734.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Uptown,7693.0,5847.0,3266.0,1679.0,1130.0,Outside of Chicago,Uptown,Edgewater,West Ridge,Rogers Park,3914.0,1130.0,658.0,475.0,443.0,,,,,,,,,,,,,,,,7492,,,,,,,,,,6.446096396677402,1487.3898704918947,84.761704380365359,0.05698687752413818,352.410673175772270,0.23693227994031352,23.782432037096552,0.01598937340431898,69.504128098619319,0.04672892392068907,243.701063998626860,0.16384477858386415,8.770309213545250,0.005896442746813128,340.828506264271140,0.229145372727028,n/a,n/a,355.418417023601930,0.23895444232524019,8.212636299996067,0.005521508827594789
Washington Heights,29843,26493,-3350,27116.0,6112.0,4857.0,4820.0,5940.0,3860.0,1527.0,42.83684210526316,351.0,287.0,25968.0,0.0,510.0,26894.0,22766.0,13177.0,10583.0,2594.0,9589.0,228.0,10098.0,6228.0,969.0,2667.0,107.0,127.0,18965.0,16929.0,3973.0,2597.0,2711.0,1595.0,1288.0,1045.0,265.0,44071.26168224299,9501.0,6522.0,2979.0,959.0,10460.0,7842.0,161.0,543.0,678.0,1218.0,6.362371445856019,237.0,1174.0,6041.0,3008.0,-9999,884.0,2529.0,4910.0,1594.0,543.0,3675.0,2682.0,104.0,61.0,139833.00589390963,8647.0,Health Care,Education,Retail Trade,Administration,Public Administration,1683.0,1077.0,814.0,808.0,739.0,2171.0,Health Care,Information,Retail Trade,Education,Accommodation and Food Service,483.0,424.0,392.0,350.0,155.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,2893.0,2029.0,645.0,642.0,177.0,Outside of Chicago,Roseland,Washington Heights,Auburn Gresham,West Pullman,1097.0,78.0,78.0,74.0,51.0,,,,,,,,,,,,,,,,14440,,,,,,,,,,1.8098363646848767,1828.1853376510428,795.734244751243520,0.4352590672090437,68.952306491145066,0.03771625615362332,9.911146167503228,0.00542130273303561,55.556661337872363,0.030388965600859016,84.479665896279641,0.04620957413695482,36.641094770523750,0.020042330509882727,676.112124017556540,0.36982690435875837,n/a,n/a,49.075522864795118,0.026843844469210194,51.722571354123573,0.028291754828632252
Washington Park,14146,11717,-2429,12081.0,4876.0,2810.0,1905.0,1631.0,612.0,247.0,26.626344743276285,48.0,158.0,11595.0,9.0,271.0,12022.0,8107.0,4967.0,3389.0,1578.0,3140.0,69.0,3189.0,1234.0,316.0,1305.0,284.0,50.0,6312.0,5093.0,1067.0,2340.0,969.0,582.0,254.0,143.0,48.0,22084.745762711864,4336.0,683.0,3653.0,1372.0,5708.0,266.0,190.0,438.0,1299.0,3510.0,5.281850961538462,594.0,1088.0,1602.0,2424.0,-9999,1104.0,2008.0,2030.0,481.0,85.0,305.0,280.0,78.0,20.0,163619.40298507462,3327.0,Health Care,Retail Trade,Accommodation and Food Service,Education,Administration,705.0,379.0,337.0,335.0,334.0,465.0,Education,Accommodation and Food Service,Construction,Arts and Entertainment,Manufacturing,93.0,73.0,54.0,50.0,46.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1021.0,621.0,262.0,259.0,94.0,Outside of Chicago,Greater Grand Crossing,South Shore,Roseland,New City,160.0,19.0,18.0,16.0,12.0,,,,,,,,,,,,,,,,8614,,,,,,,,,,28.889133346668356,972.7704732413583,15.287078888524738,0.01571499064685508,128.873444486345620,0.1324808349259695,5.143456486456885,0.0052874307228080505,20.871798759699260,0.021456036479142463,46.651657266147247,0.04795751777981063,9.098482815812574,0.00935316507448629,229.764330451794880,0.23619583115655182,n/a,n/a,349.009619961100380,0.3587790024075968,168.070604125476760,0.1727751908067794
West Elsdon,15921,18109,2188,19219.0,6366.0,4451.0,3904.0,2678.0,1341.0,480.0,31.18344849246231,3241.0,15402.0,264.0,306.0,7.0,19205.0,14303.0,9285.0,7914.0,1371.0,5018.0,79.0,7461.0,5034.0,854.0,1279.0,281.0,13.0,11081.0,7821.0,987.0,1182.0,1640.0,993.0,566.0,616.0,92.0,44791.1227154047,5088.0,3516.0,1571.0,303.0,5390.0,3790.0,169.0,481.0,490.0,443.0,5.832374928119609,62.0,996.0,3544.0,789.0,-9999,305.0,1742.0,2271.0,705.0,367.0,1489.0,1858.0,133.0,37.0,160429.5665634675,6275.0,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,Health Care,966.0,658.0,644.0,637.0,605.0,1784.0,Retail Trade,Accommodation and Food Service,Finance,Health Care,Wholesale Trade,568.0,368.0,173.0,156.0,125.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Lower West Side,2646.0,994.0,321.0,281.0,153.0,Outside of Chicago,West Elsdon,West Lawn,Gage Park,Brighton Park,884.0,114.0,74.0,49.0,46.0,,,,,,,,,,,,,,,,16389,,,,,,,,,,0.8355644100049138,750.9433329147046,339.223821385290020,0.45173025249272775,41.774631539756889,0.055629539152592535,5.019822208693119,0.00668468842943079,47.140121260534293,0.0627745386293864,15.277990841229657,0.02034506489581551,35.242187664871750,0.04693055536971484,239.690607238641410,0.3191860114242023,n/a,n/a,16.058712395884438,0.021384719315043786,11.515438379802966,0.015334630291086077
West Englewood,45282,35505,-9777,32156.0,9584.0,6597.0,5930.0,5373.0,3516.0,1156.0,34.65162401574803,235.0,1563.0,29955.0,11.0,392.0,31914.0,24715.0,13296.0,8674.0,4622.0,11419.0,350.0,8070.0,4284.0,579.0,2780.0,385.0,42.0,20118.0,15334.0,1566.0,4562.0,2762.0,1294.0,640.0,354.0,132.0,27399.380804953562,9744.0,4636.0,5108.0,3346.0,13090.0,6562.0,232.0,3888.0,1533.0,849.0,6.077430455979352,411.0,1110.0,4168.0,7401.0,-9999,1138.0,3782.0,5055.0,1981.0,1134.0,3727.0,821.0,33.0,51.0,87955.80110497237,9495.0,Health Care,Retail Trade,Administration,Accommodation and Food Service,Education,1968.0,1085.0,1042.0,906.0,838.0,1559.0,Health Care,Retail Trade,Accommodation and Food Service,Other Service,Wholesale Trade,602.0,403.0,106.0,75.0,69.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,3607.0,1409.0,716.0,622.0,173.0,Outside of Chicago,West Englewood,Chicago Lawn,Roseland,New City,733.0,75.0,44.0,34.0,32.0,,,,,,,,,,,,,,,,10669,,,,,,,,,,2.5496991594686964,2019.0011943507482,500.617128434576500,0.24795286393852795,199.366566633760500,0.0987451454667767,18.536303484532038,0.009180927448877895,51.515276179683404,0.025515228185018096,95.564104584573101,0.04733236654439114,42.355986724187780,0.02097868334238813,754.577245955578410,0.37373788983727096,n/a,n/a,81.988126171875393,0.04060826036224331,274.480456181981200,0.1359486348745059
West Garfield Park,23019,18001,-5018,17742.0,6237.0,3803.0,3291.0,2592.0,1402.0,417.0,29.37765553869499,315.0,354.0,16962.0,61.0,50.0,17589.0,12648.0,5699.0,4682.0,1017.0,6949.0,195.0,4337.0,2200.0,207.0,1492.0,150.0,288.0,10048.0,7275.0,400.0,2772.0,1260.0,691.0,455.0,137.0,44.0,23947.368421052633,5359.0,1380.0,3979.0,2271.0,7630.0,824.0,78.0,2909.0,1842.0,1977.0,5.854278874925194,212.0,375.0,891.0,6152.0,-9999,1497.0,2095.0,2979.0,818.0,240.0,720.0,564.0,89.0,7.0,142500.0,5133.0,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,1033.0,628.0,617.0,470.0,395.0,4032.0,Public Administration,Retail Trade,Manufacturing,Health Care,Finance,2046.0,400.0,359.0,236.0,225.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Austin,2103.0,686.0,355.0,275.0,185.0,Outside of Chicago,Austin,Garfield Ridge,Norwood Park,Portage Park,985.0,141.0,112.0,109.0,106.0,,,,,,,,,,,,,,,,7738,,,,,,,,,,0.2775037756776483,828.5777955201038,50.696030306777580,0.06118439400727043,190.446865107709410,0.2298478985768194,9.528118165852003,0.011499364594812898,36.680274724510852,0.04426895690764486,44.594658861841744,0.053820726433840026,38.973280981972898,0.04703635698746804,333.666456759450910,0.40269780165905394,n/a,n/a,4.923471988072836,0.00594207570452976,119.068638623915620,0.14370242512856074
West Lawn,29235,33355,4120,32749.0,10654.0,7741.0,6901.0,4670.0,1869.0,914.0,31.519853192215773,4989.0,26395.0,1067.0,178.0,120.0,32735.0,24403.0,16396.0,14185.0,2211.0,8007.0,239.0,13478.0,9108.0,2096.0,1879.0,366.0,29.0,19759.0,13321.0,2187.0,1630.0,2874.0,1836.0,1389.0,1063.0,282.0,50384.16763678696,9074.0,6554.0,2520.0,700.0,9774.0,6603.0,120.0,1243.0,805.0,955.0,6.319831868551777,391.0,1225.0,6375.0,1783.0,-9999,898.0,2167.0,3953.0,1955.0,801.0,3091.0,3308.0,130.0,23.0,153501.13550340652,11090.0,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,1640.0,1126.0,1119.0,1099.0,1079.0,5799.0,Manufacturing,Retail Trade,Education,Accommodation and Food Service,Health Care,2107.0,1125.0,675.0,535.0,366.0,Outside of Chicago,The Loop,Near West Side,Near North Side,West Lawn,4675.0,1743.0,589.0,589.0,280.0,Outside of Chicago,West Lawn,Chicago Lawn,Ashburn,South Lawndale,2985.0,280.0,191.0,160.0,101.0,,,,,,,,,,,,,,,,14661,,,,,,,,,,1.0886636460906403,1889.6992971141456,615.389573213576570,0.32565476113229697,84.490479874238503,0.044711071228775996,10.794407331665504,0.005712235458916762,169.171715341623470,0.0895230874033631,105.779202113422850,0.05597673782011962,192.902477408815970,0.10208104416581358,636.689977105508090,0.33692660947581937,n/a,n/a,35.652645745822383,0.01886683548026362,38.828818979472331,0.020547617834631025
West Pullman,36649,29651,-6998,27982.0,8308.0,5399.0,4966.0,5185.0,3288.0,835.0,35.91611515552614,280.0,1351.0,26132.0,67.0,152.0,27906.0,21376.0,12304.0,9095.0,3209.0,9072.0,383.0,8443.0,5536.0,692.0,1900.0,233.0,82.0,17537.0,14452.0,2533.0,3555.0,2185.0,1518.0,919.0,596.0,285.0,33898.4375,9058.0,5513.0,3546.0,2211.0,11270.0,7633.0,329.0,1941.0,580.0,580.0,6.32294226044226,247.0,1228.0,5861.0,3935.0,-9999,709.0,2664.0,5478.0,1727.0,693.0,4270.0,1146.0,26.0,56.0,109774.35210008937,8479.0,Health Care,Education,Retail Trade,Administration,Accommodation and Food Service,1644.0,956.0,879.0,818.0,741.0,954.0,Retail Trade,Manufacturing,Health Care,Transportation,Construction,306.0,221.0,118.0,76.0,53.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Roseland,3333.0,1720.0,543.0,480.0,134.0,Outside of Chicago,West Pullman,Roseland,Auburn Gresham,West Englewood,572.0,59.0,33.0,20.0,19.0,,,,,,,,,,,,,,,,15836,,,,,,,,,,3.123312732954659,2281.111062506997,855.909498281154470,0.3752160569246852,116.872888380398010,0.05123507149711152,12.407673400787166,0.005439311397293751,45.031079097375546,0.01974085341021725,87.809867465078042,0.03849434116047504,60.410103252246309,0.026482754060143887,798.338242173264010,0.3499778048052911,0.212535812059510,9.317205792949334e-05,87.396536893537274,0.03831314412086816,216.722637751096500,0.09500749056598455
West Ridge,73199,71942,-1257,72211.0,19462.0,15563.0,14244.0,13754.0,6727.0,2461.0,36.008274614359166,31978.0,12672.0,8110.0,16868.0,2583.0,70585.0,55819.0,36075.0,32885.0,3190.0,19744.0,986.0,31242.0,18351.0,3709.0,5906.0,2797.0,479.0,48333.0,40015.0,19004.0,6630.0,6447.0,3869.0,2671.0,3064.0,1725.0,46091.2343470483,24406.0,11376.0,13030.0,3470.0,27876.0,5096.0,1390.0,2605.0,6940.0,11750.0,5.424747757847534,1017.0,2997.0,11914.0,11948.0,-9999,7199.0,10066.0,8576.0,1489.0,546.0,3640.0,3569.0,3613.0,528.0,233175.55938037866,25864.0,Health Care,Retail Trade,Education,Accommodation and Food Service,Professional,4767.0,2742.0,2610.0,2511.0,2021.0,10342.0,Health Care,Retail Trade,Professional,Accommodation and Food Service,Other Service,5137.0,1203.0,987.0,708.0,514.0,Outside of Chicago,The Loop,Near North Side,West Ridge,Near West Side,11547.0,3608.0,1704.0,1393.0,952.0,Outside of Chicago,West Ridge,Rogers Park,Edgewater,Albany Park,5003.0,1393.0,371.0,357.0,217.0,,,,,,,,,,,,,,,,14339,,,,,,,,,,2.610840132346808,2259.621094823935,553.235060979934590,0.24483532316423234,511.713950396972730,0.22646006959713058,27.334770979291431,0.012097059565387577,140.023853716364390,0.06196784674966701,169.040756004662340,0.07480933701313036,2.584204355880742,0.0011436449950836106,655.619544403894680,0.2901457885597316,n/a,n/a,188.531376796895330,0.08343495165130121,11.537577190038800,0.00510597870433573
